"Accession.New","MouseGeneName","Description","Sample1","Sample2","Sample3","Sample4","Sample5","Accession.Number.ori","Accession.Number"
"FPPS_MOUSE","Fdps","Farnesyl pyrophosphate synthase OS=Mus musculus OX=10090 GN=Fdps PE=1 SV=1",6,3,3,3,4,"FPPS_MOUSE","FPPS_MOUSE"
"ITM2B_MOUSE","Itm2b","Integral membrane protein 2B OS=Mus musculus OX=10090 GN=Itm2b PE=1 SV=1",5,3,3,4,5,"ITM2B_MOUSE","ITM2B_MOUSE"
"PUR8_MOUSE","Adsl","Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2",3,7,4,5,5,"PUR8_MOUSE","PUR8_MOUSE"
"SMD3_MOUSE","Snrpd3","Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus OX=10090 GN=Snrpd3 PE=1 SV=1",3,3,3,3,3,"SMD3_MOUSE","SMD3_MOUSE"
"A0A0R4J2B2_MOUSE","Kctd12","BTB/POZ domain-containing protein KCTD12 OS=Mus musculus OX=10090 GN=Kctd12 PE=1 SV=1",4,2,4,5,4,"A0A0R4J2B2_MOUSE (+1)","A0A0R4J2B2_MOUSE"
"RANG_MOUSE","Ranbp1","Ran-specific GTPase-activating protein OS=Mus musculus OX=10090 GN=Ranbp1 PE=1 SV=2",3,2,4,4,3,"RANG_MOUSE","RANG_MOUSE"
"B4GT1_MOUSE","B4galt1","Isoform Short of Beta-1,4-galactosyltransferase 1 OS=Mus musculus OX=10090 GN=B4galt1",4,3,4,4,3,"sp|P15535-2|B4GT1_MOUSE (+1)","B4GT1_MOUSE"
"GRAF_MOUSE","Gzmf","Granzyme F OS=Mus musculus OX=10090 GN=Gzmf PE=1 SV=1",4,2,3,4,5,"GRAF_MOUSE","GRAF_MOUSE"
"SNX2_MOUSE","Snx2","Sorting nexin-2 OS=Mus musculus OX=10090 GN=Snx2 PE=1 SV=2",5,4,2,6,5,"SNX2_MOUSE","SNX2_MOUSE"
"A0A1B0GS58_MOUSE","Glrx3","Glutaredoxin-3 OS=Mus musculus OX=10090 GN=Glrx3 PE=1 SV=1",2,4,3,4,4,"A0A1B0GS58_MOUSE","A0A1B0GS58_MOUSE"
"ACYP1_MOUSE","Acyp1","Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2",2,3,0,3,2,"ACYP1_MOUSE (+1)","ACYP1_MOUSE"
"APEX1_MOUSE","Apex1","DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2",5,2,0,3,4,"APEX1_MOUSE","APEX1_MOUSE"
"B1AQZ0_MOUSE","Sept8","Septin-8 OS=Mus musculus OX=10090 GN=Sept8 PE=1 SV=1",3,3,0,4,3,"B1AQZ0_MOUSE","B1AQZ0_MOUSE"
"PR6A1_MOUSE","Prl6a1","Prolactin-6A1 OS=Mus musculus OX=10090 GN=Prl6a1 PE=2 SV=1",4,2,0,4,4,"PR6A1_MOUSE (+1)","PR6A1_MOUSE"
"B1AWE0_MOUSE","Clta","Clathrin light chain OS=Mus musculus OX=10090 GN=Clta PE=1 SV=1",0,4,3,3,0,"B1AWE0_MOUSE (+1)","B1AWE0_MOUSE"
"RS10_MOUSE","Rps10","40S ribosomal protein S10 OS=Mus musculus OX=10090 GN=Rps10 PE=1 SV=1",2,0,0,2,2,"RS10_MOUSE","RS10_MOUSE"
"FKBP3_MOUSE","Fkbp3","Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Mus musculus OX=10090 GN=Fkbp3 PE=1 SV=2",7,2,0,5,5,"FKBP3_MOUSE","FKBP3_MOUSE"
"PRS7_MOUSE","Psmc2","26S proteasome regulatory subunit 7 OS=Mus musculus OX=10090 GN=Psmc2 PE=1 SV=5",5,4,0,4,5,"PRS7_MOUSE (+1)","PRS7_MOUSE"
"G3X977_MOUSE","Itih2","Inter-alpha trypsin inhibitor, heavy chain 2 OS=Mus musculus OX=10090 GN=Itih2 PE=1 SV=1",0,0,6,2,2,"G3X977_MOUSE (+1)","G3X977_MOUSE"
"TPR_MOUSE","Tpr","Nucleoprotein TPR OS=Mus musculus OX=10090 GN=Tpr PE=1 SV=1",0,0,0,4,2,"TPR_MOUSE","TPR_MOUSE"
"PSDE_MOUSE","Psmd14","26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus OX=10090 GN=Psmd14 PE=1 SV=2",0,2,0,2,2,"PSDE_MOUSE","PSDE_MOUSE"
"RSMB_MOUSE","Snrpb","Small nuclear ribonucleoprotein-associated protein B OS=Mus musculus OX=10090 GN=Snrpb PE=1 SV=1",0,3,0,0,2,"RSMB_MOUSE","RSMB_MOUSE"
"ANGP2_MOUSE","Angpt2","Angiopoietin-2 OS=Mus musculus OX=10090 GN=Angpt2 PE=2 SV=2",3,3,0,4,6,"ANGP2_MOUSE","ANGP2_MOUSE"
"IFI4_MOUSE","Ifi204","Interferon-activable protein 204 OS=Mus musculus OX=10090 GN=Ifi204 PE=1 SV=1",3,2,0,4,3,"IFI4_MOUSE","IFI4_MOUSE"
"ACOT2_MOUSE","Acot2","Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 GN=Acot2 PE=1 SV=2",7,6,0,4,7,"ACOT2_MOUSE","ACOT2_MOUSE"
"HS71A_MOUSE","Hspa1a","Heat shock 70 kDa protein 1A OS=Mus musculus OX=10090 GN=Hspa1a PE=1 SV=2",6,2,0,2,3,"HS71A_MOUSE (+1)","HS71A_MOUSE"
"HXK2_MOUSE","Hk2","Hexokinase-2 OS=Mus musculus OX=10090 GN=Hk2 PE=1 SV=1",3,2,0,5,3,"HXK2_MOUSE","HXK2_MOUSE"
"SPTA1_MOUSE","Spta1","Spectrin alpha chain, erythrocytic 1 OS=Mus musculus OX=10090 GN=Spta1 PE=1 SV=3",0,4,0,4,0,"SPTA1_MOUSE","SPTA1_MOUSE"
"EI3JA_MOUSE","Eif3j1","Eukaryotic translation initiation factor 3 subunit J-A OS=Mus musculus OX=10090 GN=Eif3j1 PE=2 SV=1",3,7,0,3,5,"EI3JA_MOUSE (+1)","EI3JA_MOUSE"
"HNRPC_MOUSE","Hnrnpc","Isoform 3 of Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Mus musculus OX=10090 GN=Hnrnpc",2,4,3,4,2,"sp|Q9Z204-3|HNRPC_MOUSE (+1)","HNRPC_MOUSE"
"SODM_MOUSE","Sod2","Superoxide dismutase [Mn], mitochondrial OS=Mus musculus OX=10090 GN=Sod2 PE=1 SV=3",4,2,2,2,3,"SODM_MOUSE","SODM_MOUSE"
"A2AGN7_MOUSE","Psmc3","26S proteasome regulatory subunit 6A OS=Mus musculus OX=10090 GN=Psmc3 PE=1 SV=1",3,0,3,5,5,"A2AGN7_MOUSE (+1)","A2AGN7_MOUSE"
"ITPA_MOUSE","Itpa","Inosine triphosphate pyrophosphatase OS=Mus musculus OX=10090 GN=Itpa PE=1 SV=2",5,4,0,5,4,"ITPA_MOUSE","ITPA_MOUSE"
"PRS8_MOUSE","Psmc5","26S proteasome regulatory subunit 8 OS=Mus musculus OX=10090 GN=Psmc5 PE=1 SV=1",4,3,0,5,3,"PRS8_MOUSE","PRS8_MOUSE"
"DCTN2_MOUSE","Dctn2","Dynactin subunit 2 OS=Mus musculus OX=10090 GN=Dctn2 PE=1 SV=3",7,3,0,4,5,"DCTN2_MOUSE","DCTN2_MOUSE"
"S10A8_MOUSE","S100a8","Protein S100-A8 OS=Mus musculus OX=10090 GN=S100a8 PE=1 SV=3",0,2,0,3,0,"S10A8_MOUSE","S10A8_MOUSE"
"A2A7A7_MOUSE","H6pd","GDH/6PGL endoplasmic bifunctional protein OS=Mus musculus OX=10090 GN=H6pd PE=1 SV=1",7,4,2,0,7,"A2A7A7_MOUSE (+1)","A2A7A7_MOUSE"
"HTRA3_MOUSE","Htra3","Isoform 3 of Serine protease HTRA3 OS=Mus musculus OX=10090 GN=Htra3",4,2,0,6,5,"sp|Q9D236-1|HTRA3_MOUSE (+1)","HTRA3_MOUSE"
"SNX5_MOUSE","Snx5","Sorting nexin-5 OS=Mus musculus OX=10090 GN=Snx5 PE=1 SV=1",4,3,0,4,2,"SNX5_MOUSE","SNX5_MOUSE"
"A0A1Y7VMN0_MOUSE","Rock2","Rho-associated protein kinase 2 (Fragment) OS=Mus musculus OX=10090 GN=Rock2 PE=1 SV=1",2,0,0,0,3,"A0A1Y7VMN0_MOUSE (+1)","A0A1Y7VMN0_MOUSE"
"ASPG_MOUSE","Aga","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1",5,3,4,4,4,"ASPG_MOUSE","ASPG_MOUSE"
"CH10_MOUSE","Hspe1","10 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspe1 PE=1 SV=2",4,4,2,3,2,"CH10_MOUSE","CH10_MOUSE"
"Q80ZS9_MOUSE","Sct","Sct protein OS=Mus musculus OX=10090 GN=Sct PE=2 SV=1",3,4,3,4,3,"Q80ZS9_MOUSE (+1)","Q80ZS9_MOUSE"
"RAP1B_MOUSE","Rap1b","Ras-related protein Rap-1b OS=Mus musculus OX=10090 GN=Rap1b PE=1 SV=2",5,5,3,3,6,"RAP1B_MOUSE","RAP1B_MOUSE"
"CSF1R_MOUSE","Csf1r","Macrophage colony-stimulating factor 1 receptor OS=Mus musculus OX=10090 GN=Csf1r PE=1 SV=3",6,2,2,4,3,"CSF1R_MOUSE","CSF1R_MOUSE"
"SBDS_MOUSE","Sbds","Ribosome maturation protein SBDS OS=Mus musculus OX=10090 GN=Sbds PE=1 SV=4",6,3,2,6,3,"SBDS_MOUSE","SBDS_MOUSE"
"SEM3F_MOUSE","Sema3f","Isoform A of Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f",5,2,3,2,4,"sp|O88632-2|SEM3F_MOUSE (+1)","SEM3F_MOUSE"
"A0A1Y7VJ48_MOUSE","Tbca","Tubulin-specific chaperone A OS=Mus musculus OX=10090 GN=Tbca PE=1 SV=1",4,2,3,2,3,"A0A1Y7VJ48_MOUSE (+1)","A0A1Y7VJ48_MOUSE"
"CDC42_MOUSE","Cdc42","Cell division control protein 42 homolog OS=Mus musculus OX=10090 GN=Cdc42 PE=1 SV=2",3,4,2,4,3,"sp|P60766|CDC42_MOUSE","CDC42_MOUSE"
"COR1B_MOUSE","Coro1b","Coronin-1B OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1",3,2,0,3,4,"COR1B_MOUSE","COR1B_MOUSE"
"PR7A1_MOUSE","Prl7a1","Isoform 2 of Prolactin-7A1 OS=Mus musculus OX=10090 GN=Prl7a1",4,4,0,4,5,"sp|O54830-2|PR7A1_MOUSE (+1)","PR7A1_MOUSE"
"PR7C1_MOUSE","Prl7c1","Prolactin-7C1 OS=Mus musculus OX=10090 GN=Prl7c1 PE=2 SV=1",2,0,0,0,2,"PR7C1_MOUSE","PR7C1_MOUSE"
"NUCB2_MOUSE","Nucb2","Nucleobindin-2 OS=Mus musculus OX=10090 GN=Nucb2 PE=1 SV=2",4,4,0,4,4,"NUCB2_MOUSE (+1)","NUCB2_MOUSE"
"Q497W1_MOUSE","Psg25","Pregnancy-specific glycoprotein 25 OS=Mus musculus OX=10090 GN=Psg25 PE=2 SV=1",7,2,0,3,3,"Q497W1_MOUSE","Q497W1_MOUSE"
"OSTF1_MOUSE","Ostf1","Osteoclast-stimulating factor 1 OS=Mus musculus OX=10090 GN=Ostf1 PE=1 SV=2",4,4,2,4,5,"OSTF1_MOUSE","OSTF1_MOUSE"
"AIF1L_MOUSE","Aif1l","Allograft inflammatory factor 1-like OS=Mus musculus OX=10090 GN=Aif1l PE=1 SV=1",4,3,2,2,3,"AIF1L_MOUSE","AIF1L_MOUSE"
"RS15A_MOUSE","Rps15a","40S ribosomal protein S15a OS=Mus musculus OX=10090 GN=Rps15a PE=1 SV=2",3,4,3,2,5,"RS15A_MOUSE","RS15A_MOUSE"
"UBE2K_MOUSE","Ube2k","Ubiquitin-conjugating enzyme E2 K OS=Mus musculus OX=10090 GN=Ube2k PE=1 SV=3",4,4,2,5,3,"UBE2K_MOUSE","UBE2K_MOUSE"
"CSF1_MOUSE","Csf1","Macrophage colony-stimulating factor 1 OS=Mus musculus OX=10090 GN=Csf1 PE=1 SV=2",3,2,4,4,4,"sp|P07141|CSF1_MOUSE","CSF1_MOUSE"
"A0A0R4J052_MOUSE","Hagh","Hydroxyacylglutathione hydrolase, mitochondrial OS=Mus musculus OX=10090 GN=Hagh PE=1 SV=1",3,2,4,3,2,"A0A0R4J052_MOUSE (+3)","A0A0R4J052_MOUSE"
"MFGM_MOUSE","Mfge8","Isoform 2 of Lactadherin OS=Mus musculus OX=10090 GN=Mfge8",4,2,2,2,5,"sp|P21956-2|MFGM_MOUSE (+1)","MFGM_MOUSE"
"IL1R2_MOUSE","Il1r2","Interleukin-1 receptor type 2 OS=Mus musculus OX=10090 GN=Il1r2 PE=1 SV=1",6,5,2,5,3,"IL1R2_MOUSE","IL1R2_MOUSE"
"A0A0R4IZW5_MOUSE","Cdh1","Cadherin 1, isoform CRA_b OS=Mus musculus OX=10090 GN=Cdh1 PE=1 SV=1",4,2,2,3,6,"A0A0R4IZW5_MOUSE (+1)","A0A0R4IZW5_MOUSE"
"DHSO_MOUSE","Sord","Sorbitol dehydrogenase OS=Mus musculus OX=10090 GN=Sord PE=1 SV=3",5,0,0,3,4,"DHSO_MOUSE","DHSO_MOUSE"
"RS20_MOUSE","Rps20","40S ribosomal protein S20 OS=Mus musculus OX=10090 GN=Rps20 PE=1 SV=1",2,2,0,2,2,"RS20_MOUSE","RS20_MOUSE"
"MESD_MOUSE","Mesd","LRP chaperone MESD OS=Mus musculus OX=10090 GN=Mesd PE=1 SV=1",2,2,2,4,4,"MESD_MOUSE","MESD_MOUSE"
"AMPN_MOUSE","Anpep","Aminopeptidase N OS=Mus musculus OX=10090 GN=Anpep PE=1 SV=4",3,4,3,3,0,"AMPN_MOUSE","AMPN_MOUSE"
"PLMN_MOUSE","Plg","Plasminogen OS=Mus musculus OX=10090 GN=Plg PE=1 SV=3",2,3,4,2,2,"PLMN_MOUSE","PLMN_MOUSE"
"GALK1_MOUSE","Galk1","Galactokinase OS=Mus musculus OX=10090 GN=Galk1 PE=1 SV=2",3,3,0,3,5,"GALK1_MOUSE","GALK1_MOUSE"
"A0A1L1SSF8_MOUSE","4931406C07Rik","RIKEN cDNA 4931406C07 gene OS=Mus musculus OX=10090 GN=4931406C07Rik PE=1 SV=1",2,0,0,5,0,"A0A1L1SSF8_MOUSE (+1)","A0A1L1SSF8_MOUSE"
"SAE1_MOUSE","Sae1","SUMO-activating enzyme subunit 1 OS=Mus musculus OX=10090 GN=Sae1 PE=1 SV=1",4,2,2,4,4,"sp|Q9R1T2|SAE1_MOUSE","SAE1_MOUSE"
"HMGB2_MOUSE","Hmgb2","High mobility group protein B2 OS=Mus musculus OX=10090 GN=Hmgb2 PE=1 SV=3",0,5,0,3,2,"HMGB2_MOUSE","HMGB2_MOUSE"
"HDHD2_MOUSE","Hdhd2","Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Hdhd2 PE=1 SV=2",3,0,2,3,5,"sp|Q3UGR5|HDHD2_MOUSE","HDHD2_MOUSE"
"A0A1B0GSU0_MOUSE","Aldh16a1","Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus OX=10090 GN=Aldh16a1 PE=1 SV=1",3,5,0,6,5,"A0A1B0GSU0_MOUSE (+2)","A0A1B0GSU0_MOUSE"
"RAB7A_MOUSE","Rab7a","Ras-related protein Rab-7a OS=Mus musculus OX=10090 GN=Rab7a PE=1 SV=2",4,4,0,3,5,"RAB7A_MOUSE","RAB7A_MOUSE"
"ARLY_MOUSE","Asl","Argininosuccinate lyase OS=Mus musculus OX=10090 GN=Asl PE=1 SV=1",6,3,0,7,4,"ARLY_MOUSE","ARLY_MOUSE"
"PYGB_MOUSE","Pygb","Glycogen phosphorylase, brain form OS=Mus musculus OX=10090 GN=Pygb PE=1 SV=3",2,3,0,5,4,"PYGB_MOUSE","PYGB_MOUSE"
"D3YYE1_MOUSE","Anp32a","Acidic leucine-rich nuclear phosphoprotein 32 family member A (Fragment) OS=Mus musculus OX=10090 GN=Anp32a PE=1 SV=1",4,4,0,3,3,"D3YYE1_MOUSE","D3YYE1_MOUSE"
"ILEUA_MOUSE","Serpinb1a","Leukocyte elastase inhibitor A OS=Mus musculus OX=10090 GN=Serpinb1a PE=1 SV=1",6,0,0,8,3,"ILEUA_MOUSE","ILEUA_MOUSE"
"EIF3C_MOUSE","Eif3c","Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus OX=10090 GN=Eif3c PE=1 SV=1",3,6,0,5,2,"EIF3C_MOUSE","EIF3C_MOUSE"
"TR11B_MOUSE","Tnfrsf11b","Tumor necrosis factor receptor superfamily member 11B OS=Mus musculus OX=10090 GN=Tnfrsf11b PE=1 SV=1",5,2,0,3,3,"TR11B_MOUSE","TR11B_MOUSE"
"A0A171KXD3_MOUSE","Prmt1","Protein arginine N-methyltransferase 1 OS=Mus musculus OX=10090 GN=Prmt1 PE=1 SV=1",6,3,0,5,6,"A0A171KXD3_MOUSE","A0A171KXD3_MOUSE"
"PEPL1_MOUSE","Npepl1","Probable aminopeptidase NPEPL1 OS=Mus musculus OX=10090 GN=Npepl1 PE=1 SV=1",6,4,0,3,5,"PEPL1_MOUSE","PEPL1_MOUSE"
"ERF1_MOUSE","Etf1","Eukaryotic peptide chain release factor subunit 1 OS=Mus musculus OX=10090 GN=Etf1 PE=1 SV=4",5,3,2,3,5,"ERF1_MOUSE","ERF1_MOUSE"
"RL30_MOUSE","Rpl30","60S ribosomal protein L30 OS=Mus musculus OX=10090 GN=Rpl30 PE=1 SV=2",4,3,2,3,3,"RL30_MOUSE","RL30_MOUSE"
"GSH1_MOUSE","Gclc","Glutamate--cysteine ligase catalytic subunit OS=Mus musculus OX=10090 GN=Gclc PE=1 SV=4",5,3,2,3,2,"GSH1_MOUSE","GSH1_MOUSE"
"Q9DAX0_MOUSE","Fthl17a","Ferritin OS=Mus musculus OX=10090 GN=Fthl17a PE=1 SV=1",4,2,2,5,2,"Q9DAX0_MOUSE","Q9DAX0_MOUSE"
"ECP2_MOUSE","Ear2","Eosinophil cationic protein 2 OS=Mus musculus OX=10090 GN=Ear2 PE=2 SV=1",2,2,2,2,2,"ECP2_MOUSE","ECP2_MOUSE"
"NNRE_MOUSE","Naxe","NAD(P)H-hydrate epimerase OS=Mus musculus OX=10090 GN=Naxe PE=1 SV=1",3,0,0,3,4,"NNRE_MOUSE","NNRE_MOUSE"
"Q3TKD0_MOUSE","Tnpo1","Transportin-1 (Fragment) OS=Mus musculus OX=10090 GN=Tnpo1 PE=1 SV=1",3,2,2,4,4,"Q3TKD0_MOUSE (+2)","Q3TKD0_MOUSE"
"RD23B_MOUSE","Rad23b","UV excision repair protein RAD23 homolog B OS=Mus musculus OX=10090 GN=Rad23b PE=1 SV=2",4,2,2,4,3,"RD23B_MOUSE","RD23B_MOUSE"
"RS19_MOUSE","Rps19","40S ribosomal protein S19 OS=Mus musculus OX=10090 GN=Rps19 PE=1 SV=3",2,5,0,2,3,"RS19_MOUSE","RS19_MOUSE"
"CATC_MOUSE","Ctsc","Dipeptidyl peptidase 1 OS=Mus musculus OX=10090 GN=Ctsc PE=1 SV=1",2,0,2,0,4,"CATC_MOUSE","CATC_MOUSE"
"HEM3_MOUSE","Hmbs","Isoform 2 of Porphobilinogen deaminase OS=Mus musculus OX=10090 GN=Hmbs",2,4,5,5,0,"sp|P22907-2|HEM3_MOUSE (+1)","HEM3_MOUSE"
"M0QWP1_MOUSE","Agrn","Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1",3,0,0,5,4,"M0QWP1_MOUSE","M0QWP1_MOUSE"
"A0A0A0MQA3_MOUSE","Serpina1a","Alpha-1-antitrypsin 1-1 OS=Mus musculus OX=10090 GN=Serpina1a PE=1 SV=1",0,3,0,4,7,"A0A0A0MQA3_MOUSE","A0A0A0MQA3_MOUSE"
"YKT6_MOUSE","Ykt6","Synaptobrevin homolog YKT6 OS=Mus musculus OX=10090 GN=Ykt6 PE=1 SV=1",3,2,0,4,7,"YKT6_MOUSE","YKT6_MOUSE"
"A0A087WP83_MOUSE","Hdlbp","Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1",2,4,0,4,3,"A0A087WP83_MOUSE (+1)","A0A087WP83_MOUSE"
"PREP_MOUSE","Pitrm1","Isoform 2 of Presequence protease, mitochondrial OS=Mus musculus OX=10090 GN=Pitrm1",2,2,0,0,2,"sp|Q8K411-2|PREP_MOUSE (+2)","PREP_MOUSE"
"EIF3G_MOUSE","Eif3g","Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus OX=10090 GN=Eif3g PE=1 SV=2",4,2,0,4,6,"EIF3G_MOUSE","EIF3G_MOUSE"
"DGUOK_MOUSE","Dguok","Isoform 2 of Deoxyguanosine kinase, mitochondrial OS=Mus musculus OX=10090 GN=Dguok",0,0,0,0,2,"sp|Q9QX60-2|DGUOK_MOUSE (+1)","DGUOK_MOUSE"
"IF4A2_MOUSE","Eif4a2","Isoform 2 of Eukaryotic initiation factor 4A-II OS=Mus musculus OX=10090 GN=Eif4a2",3,3,3,3,5,"sp|P10630-2|IF4A2_MOUSE (+1)","IF4A2_MOUSE"
"CRYAA_MOUSE","Cryaa","Isoform 2 of Alpha-crystallin A chain OS=Mus musculus OX=10090 GN=Cryaa",4,4,3,4,4,"sp|P24622-2|CRYAA_MOUSE","CRYAA_MOUSE"
"MIF_MOUSE","Mif","Macrophage migration inhibitory factor OS=Mus musculus OX=10090 GN=Mif PE=1 SV=2",2,2,2,2,3,"MIF_MOUSE","MIF_MOUSE"
"IGF2_MOUSE","Igf2","Isoform 2 of Insulin-like growth factor II OS=Mus musculus OX=10090 GN=Igf2",2,3,2,3,3,"sp|P09535-2|IGF2_MOUSE (+1)","IGF2_MOUSE"
"A0A1L1SRT0_MOUSE","Bag1","BAG family molecular chaperone regulator 1 OS=Mus musculus OX=10090 GN=Bag1 PE=1 SV=1",3,3,2,3,3,"A0A1L1SRT0_MOUSE (+1)","A0A1L1SRT0_MOUSE"
"PLF4_MOUSE","Pf4","Platelet factor 4 OS=Mus musculus OX=10090 GN=Pf4 PE=1 SV=1",2,3,2,3,3,"PLF4_MOUSE","PLF4_MOUSE"
"NLTP_MOUSE","Scp2","Non-specific lipid-transfer protein OS=Mus musculus OX=10090 GN=Scp2 PE=1 SV=3",3,4,2,3,3,"sp|P32020|NLTP_MOUSE","NLTP_MOUSE"
"SMD1_MOUSE","Snrpd1","Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus OX=10090 GN=Snrpd1 PE=1 SV=1",3,3,0,4,3,"SMD1_MOUSE","SMD1_MOUSE"
"HINT1_MOUSE","Hint1","Histidine triad nucleotide-binding protein 1 OS=Mus musculus OX=10090 GN=Hint1 PE=1 SV=3",3,3,0,4,4,"HINT1_MOUSE","HINT1_MOUSE"
"PLAP_MOUSE","Plaa","Phospholipase A-2-activating protein OS=Mus musculus OX=10090 GN=Plaa PE=1 SV=4",7,2,0,4,4,"PLAP_MOUSE","PLAP_MOUSE"
"PMM2_MOUSE","Pmm2","Phosphomannomutase 2 OS=Mus musculus OX=10090 GN=Pmm2 PE=1 SV=1",3,2,0,2,0,"PMM2_MOUSE","PMM2_MOUSE"
"GSHB_MOUSE","Gss","Glutathione synthetase OS=Mus musculus OX=10090 GN=Gss PE=1 SV=1",5,0,3,2,4,"GSHB_MOUSE","GSHB_MOUSE"
"CKAP4_MOUSE","Ckap4","Cytoskeleton-associated protein 4 OS=Mus musculus OX=10090 GN=Ckap4 PE=1 SV=2",4,0,2,4,3,"CKAP4_MOUSE","CKAP4_MOUSE"
"CNN2_MOUSE","Cnn2","Calponin-2 OS=Mus musculus OX=10090 GN=Cnn2 PE=1 SV=1",4,2,0,0,2,"CNN2_MOUSE","CNN2_MOUSE"
"NHLC3_MOUSE","Nhlrc3","NHL repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Nhlrc3 PE=1 SV=1",3,3,0,3,3,"NHLC3_MOUSE","NHLC3_MOUSE"
"CBPQ_MOUSE","Cpq","Carboxypeptidase Q OS=Mus musculus OX=10090 GN=Cpq PE=1 SV=1",5,0,0,4,5,"CBPQ_MOUSE","CBPQ_MOUSE"
"GBP2_MOUSE","Gbp2","Guanylate-binding protein 2 OS=Mus musculus OX=10090 GN=Gbp2 PE=1 SV=1",5,0,0,5,4,"GBP2_MOUSE","GBP2_MOUSE"
"CMPK2_MOUSE","Cmpk2","UMP-CMP kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Cmpk2 PE=1 SV=2",5,0,3,5,0,"CMPK2_MOUSE","CMPK2_MOUSE"
"SC23B_MOUSE","Sec23b","Protein transport protein Sec23B OS=Mus musculus OX=10090 GN=Sec23b PE=1 SV=1",4,4,0,0,2,"SC23B_MOUSE","SC23B_MOUSE"
"AMPB_MOUSE","Rnpep","Aminopeptidase B OS=Mus musculus OX=10090 GN=Rnpep PE=1 SV=2",3,2,0,2,2,"AMPB_MOUSE","AMPB_MOUSE"
"E9Q3X0_MOUSE","Mvp","Major vault protein OS=Mus musculus OX=10090 GN=Mvp PE=1 SV=1",5,0,0,0,6,"E9Q3X0_MOUSE (+1)","E9Q3X0_MOUSE"
"APLP2_MOUSE","Aplp2","Amyloid-like protein 2 OS=Mus musculus OX=10090 GN=Aplp2 PE=1 SV=4",2,0,0,3,0,"sp|Q06335|APLP2_MOUSE","APLP2_MOUSE"
"Q3TLP8_MOUSE","Rac1","RAS-related C3 botulinum substrate 1, isoform CRA_a OS=Mus musculus OX=10090 GN=Rac1 PE=1 SV=1",4,2,3,3,3,"Q3TLP8_MOUSE (+1)","Q3TLP8_MOUSE"
"TEBP_MOUSE","Ptges3","Prostaglandin E synthase 3 OS=Mus musculus OX=10090 GN=Ptges3 PE=1 SV=1",3,2,4,4,4,"TEBP_MOUSE","TEBP_MOUSE"
"A0A023T778_MOUSE","Magohb","Mago nashi protein OS=Mus musculus OX=10090 GN=Magohb PE=1 SV=1",5,2,2,3,2,"A0A023T778_MOUSE (+2)","A0A023T778_MOUSE"
"A2BFF9_MOUSE","Dync1i2","Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync1i2 PE=1 SV=1",5,3,2,3,2,"A2BFF9_MOUSE (+2)","A2BFF9_MOUSE"
"CNBP_MOUSE","Cnbp","Isoform 2 of Cellular nucleic acid-binding protein OS=Mus musculus OX=10090 GN=Cnbp",5,4,2,3,3,"sp|P53996-2|CNBP_MOUSE (+1)","CNBP_MOUSE"
"CCL2_MOUSE","Ccl2","C-C motif chemokine 2 OS=Mus musculus OX=10090 GN=Ccl2 PE=1 SV=1",2,3,0,2,4,"CCL2_MOUSE","CCL2_MOUSE"
"SNX12_MOUSE","Snx12","Sorting nexin-12 OS=Mus musculus OX=10090 GN=Snx12 PE=1 SV=1",0,2,0,3,3,"SNX12_MOUSE","SNX12_MOUSE"
"A0A0A6YXU9_MOUSE","Tgfb2","Transforming growth factor beta-2 OS=Mus musculus OX=10090 GN=Tgfb2 PE=1 SV=1",4,2,0,5,2,"A0A0A6YXU9_MOUSE (+1)","A0A0A6YXU9_MOUSE"
"DSC2_MOUSE","Dsc2","Isoform 2B of Desmocollin-2 OS=Mus musculus OX=10090 GN=Dsc2",4,2,0,4,6,"sp|P55292-2|DSC2_MOUSE (+1)","DSC2_MOUSE"
