"MouseGeneName","Accession.New.x","Description.x","Sample1.x","Sample2.x","Sample3.x","Sample4.x","Sample5.x","Accession.Number.ori.x","Accession.Number.x","ProteinID.x","Accession.New.y","Description.y","Sample1.y","Sample2.y","Sample3.y","Sample4.y","Sample5.y","Accession.Number.ori.y","Accession.Number.y","ProteinID.y","HumanGeneName"
"Igfbp7","F8WH23_MOUSE","Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=1",15,15,15,13,16,"F8WH23_MOUSE (+1)","F8WH23_MOUSE","F8WH23","F8WH23_MOUSE","Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=1",15,15,15,13,16,"F8WH23_MOUSE (+1)","F8WH23_MOUSE","F8WH23","IGFBP7"
"Il1r2","IL1R2_MOUSE","Interleukin-1 receptor type 2 OS=Mus musculus OX=10090 GN=Il1r2 PE=1 SV=1",6,5,2,5,3,"IL1R2_MOUSE","IL1R2_MOUSE","P27931","IL1R2_MOUSE","Interleukin-1 receptor type 2 OS=Mus musculus OX=10090 GN=Il1r2 PE=1 SV=1",6,5,2,5,3,"IL1R2_MOUSE","IL1R2_MOUSE","P27931","IL1R2"
"Impa1","Q924B0_MOUSE","Inositol-1-monophosphatase OS=Mus musculus OX=10090 GN=Impa1 PE=1 SV=1",8,7,6,8,7,"Q924B0_MOUSE","Q924B0_MOUSE","Q924B0","Q924B0_MOUSE","Inositol-1-monophosphatase OS=Mus musculus OX=10090 GN=Impa1 PE=1 SV=1",8,7,6,8,7,"Q924B0_MOUSE","Q924B0_MOUSE","Q924B0","IMPA1"
"Impa2","IMPA2_MOUSE","Inositol monophosphatase 2 OS=Mus musculus OX=10090 GN=Impa2 PE=1 SV=1",2,2,2,3,2,"IMPA2_MOUSE","IMPA2_MOUSE","Q91UZ5","IMPA2_MOUSE","Inositol monophosphatase 2 OS=Mus musculus OX=10090 GN=Impa2 PE=1 SV=1",2,2,2,3,2,"IMPA2_MOUSE","IMPA2_MOUSE","Q91UZ5","IMPA2"
"Impdh2","IMDH2_MOUSE","Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2",4,5,4,5,7,"IMDH2_MOUSE","IMDH2_MOUSE","P24547","IMDH2_MOUSE","Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2",4,5,4,5,7,"IMDH2_MOUSE","IMDH2_MOUSE","P24547","IMPDH2"
"Inhba","INHBA_MOUSE","Inhibin beta A chain OS=Mus musculus OX=10090 GN=Inhba PE=1 SV=1",21,18,21,24,22,"INHBA_MOUSE","INHBA_MOUSE","Q04998","INHBA_MOUSE","Inhibin beta A chain OS=Mus musculus OX=10090 GN=Inhba PE=1 SV=1",21,18,21,24,22,"INHBA_MOUSE","INHBA_MOUSE","Q04998","INHBA"
"Ipo5","IPO5_MOUSE","Importin-5 OS=Mus musculus OX=10090 GN=Ipo5 PE=1 SV=3",7,7,2,10,10,"sp|Q8BKC5|IPO5_MOUSE","IPO5_MOUSE","Q8BKC5","IPO5_MOUSE","Importin-5 OS=Mus musculus OX=10090 GN=Ipo5 PE=1 SV=3",7,7,2,10,10,"sp|Q8BKC5|IPO5_MOUSE","IPO5_MOUSE","Q8BKC5","IPO5"
"Iqgap1","IQGA1_MOUSE","Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2",43,38,30,49,40,"IQGA1_MOUSE","IQGA1_MOUSE","Q9JKF1","IQGA1_MOUSE","Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2",43,38,30,49,40,"IQGA1_MOUSE","IQGA1_MOUSE","Q9JKF1","IQGAP1"
"Isg15","ISG15_MOUSE","Ubiquitin-like protein ISG15 OS=Mus musculus OX=10090 GN=Isg15 PE=1 SV=4",5,3,2,5,4,"ISG15_MOUSE","ISG15_MOUSE","Q64339","ISG15_MOUSE","Ubiquitin-like protein ISG15 OS=Mus musculus OX=10090 GN=Isg15 PE=1 SV=4",5,3,2,5,4,"ISG15_MOUSE","ISG15_MOUSE","Q64339","ISG15"
"Isoc1","ISOC1_MOUSE","Isochorismatase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Isoc1 PE=1 SV=1",2,2,6,5,6,"ISOC1_MOUSE","ISOC1_MOUSE","Q91V64","ISOC1_MOUSE","Isochorismatase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Isoc1 PE=1 SV=1",2,2,6,5,6,"ISOC1_MOUSE","ISOC1_MOUSE","Q91V64","ISOC1"
"Ist1","IST1_MOUSE","IST1 homolog OS=Mus musculus OX=10090 GN=Ist1 PE=1 SV=1",3,3,0,4,2,"IST1_MOUSE","IST1_MOUSE","Q9CX00","IST1_MOUSE","IST1 homolog OS=Mus musculus OX=10090 GN=Ist1 PE=1 SV=1",3,3,0,4,2,"IST1_MOUSE","IST1_MOUSE","Q9CX00","IST1"
"Itgb1","ITB1_MOUSE","Isoform 2 of Integrin beta-1 OS=Mus musculus OX=10090 GN=Itgb1",2,2,2,0,3,"sp|P09055-2|ITB1_MOUSE","ITB1_MOUSE","P09055","ITB1_MOUSE","Isoform 2 of Integrin beta-1 OS=Mus musculus OX=10090 GN=Itgb1",2,2,2,0,3,"sp|P09055-2|ITB1_MOUSE","ITB1_MOUSE","P09055","ITGB1"
"Itih4","A0A2K6EDJ7_MOUSE","Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus OX=10090 GN=Itih4 PE=1 SV=1",2,3,2,3,2,"A0A2K6EDJ7_MOUSE (+4)","A0A2K6EDJ7_MOUSE","A0A2K6EDJ7","A0A2K6EDJ7_MOUSE","Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus OX=10090 GN=Itih4 PE=1 SV=1",2,3,2,3,2,"A0A2K6EDJ7_MOUSE (+4)","A0A2K6EDJ7_MOUSE","A0A2K6EDJ7","ITIH4"
"Itm2b","ITM2B_MOUSE","Integral membrane protein 2B OS=Mus musculus OX=10090 GN=Itm2b PE=1 SV=1",5,3,3,4,5,"ITM2B_MOUSE","ITM2B_MOUSE","O89051","ITM2B_MOUSE","Integral membrane protein 2B OS=Mus musculus OX=10090 GN=Itm2b PE=1 SV=1",5,3,3,4,5,"ITM2B_MOUSE","ITM2B_MOUSE","O89051","ITM2B"
"Itpa","ITPA_MOUSE","Inosine triphosphate pyrophosphatase OS=Mus musculus OX=10090 GN=Itpa PE=1 SV=2",5,4,0,5,4,"ITPA_MOUSE","ITPA_MOUSE","Q9D892","ITPA_MOUSE","Inosine triphosphate pyrophosphatase OS=Mus musculus OX=10090 GN=Itpa PE=1 SV=2",5,4,0,5,4,"ITPA_MOUSE","ITPA_MOUSE","Q9D892","ITPA"
"Kars","Q8R2P8_MOUSE","Lysine--tRNA ligase OS=Mus musculus OX=10090 GN=Kars PE=1 SV=1",6,4,2,8,6,"Q8R2P8_MOUSE","Q8R2P8_MOUSE","Q8R2P8","Q8R2P8_MOUSE","Lysine--tRNA ligase OS=Mus musculus OX=10090 GN=Kars PE=1 SV=1",6,4,2,8,6,"Q8R2P8_MOUSE","Q8R2P8_MOUSE","Q8R2P8","KARS1"
"Kctd12","A0A0R4J2B2_MOUSE","BTB/POZ domain-containing protein KCTD12 OS=Mus musculus OX=10090 GN=Kctd12 PE=1 SV=1",4,2,4,5,4,"A0A0R4J2B2_MOUSE (+1)","A0A0R4J2B2_MOUSE","A0A0R4J2B2","A0A0R4J2B2_MOUSE","BTB/POZ domain-containing protein KCTD12 OS=Mus musculus OX=10090 GN=Kctd12 PE=1 SV=1",4,2,4,5,4,"A0A0R4J2B2_MOUSE (+1)","A0A0R4J2B2_MOUSE","A0A0R4J2B2","KCTD12"
"Kif5b","KINH_MOUSE","Kinesin-1 heavy chain OS=Mus musculus OX=10090 GN=Kif5b PE=1 SV=3",7,2,0,6,4,"KINH_MOUSE","KINH_MOUSE","Q61768","KINH_MOUSE","Kinesin-1 heavy chain OS=Mus musculus OX=10090 GN=Kif5b PE=1 SV=3",7,2,0,6,4,"KINH_MOUSE","KINH_MOUSE","Q61768","KIF5B"
"Kpnb1","IMB1_MOUSE","Importin subunit beta-1 OS=Mus musculus OX=10090 GN=Kpnb1 PE=1 SV=2",12,14,6,13,13,"IMB1_MOUSE","IMB1_MOUSE","P70168","IMB1_MOUSE","Importin subunit beta-1 OS=Mus musculus OX=10090 GN=Kpnb1 PE=1 SV=2",12,14,6,13,13,"IMB1_MOUSE","IMB1_MOUSE","P70168","KPNB1"
"Krt18","K1C18_MOUSE","Keratin, type I cytoskeletal 18 OS=Mus musculus OX=10090 GN=Krt18 PE=1 SV=5",29,27,18,29,27,"K1C18_MOUSE","K1C18_MOUSE","P05784","K1C18_MOUSE","Keratin, type I cytoskeletal 18 OS=Mus musculus OX=10090 GN=Krt18 PE=1 SV=5",29,27,18,29,27,"K1C18_MOUSE","K1C18_MOUSE","P05784","KRT18"
"Krt19","K1C19_MOUSE","Keratin, type I cytoskeletal 19 OS=Mus musculus OX=10090 GN=Krt19 PE=1 SV=1",21,18,14,18,20,"K1C19_MOUSE","K1C19_MOUSE","P19001","K1C19_MOUSE","Keratin, type I cytoskeletal 19 OS=Mus musculus OX=10090 GN=Krt19 PE=1 SV=1",21,18,14,18,20,"K1C19_MOUSE","K1C19_MOUSE","P19001","KRT19"
"Krt7","K2C7_MOUSE","Keratin, type II cytoskeletal 7 OS=Mus musculus OX=10090 GN=Krt7 PE=1 SV=1",19,10,6,16,15,"K2C7_MOUSE","K2C7_MOUSE","Q9DCV7","K2C7_MOUSE","Keratin, type II cytoskeletal 7 OS=Mus musculus OX=10090 GN=Krt7 PE=1 SV=1",19,10,6,16,15,"K2C7_MOUSE","K2C7_MOUSE","Q9DCV7","KRT7"
"Krt8","K2C8_MOUSE","Keratin, type II cytoskeletal 8 OS=Mus musculus OX=10090 GN=Krt8 PE=1 SV=4",28,28,23,29,28,"K2C8_MOUSE","K2C8_MOUSE","P11679","K2C8_MOUSE","Keratin, type II cytoskeletal 8 OS=Mus musculus OX=10090 GN=Krt8 PE=1 SV=4",28,28,23,29,28,"K2C8_MOUSE","K2C8_MOUSE","P11679","KRT8"
"Lama1","LAMA1_MOUSE","Laminin subunit alpha-1 OS=Mus musculus OX=10090 GN=Lama1 PE=1 SV=1",44,33,36,38,43,"F8VQ40_MOUSE","F8VQ40_MOUSE","P19137","LAMA1_MOUSE","Laminin subunit alpha-1 OS=Mus musculus OX=10090 GN=Lama1 PE=1 SV=1",44,33,36,38,43,"F8VQ40_MOUSE","F8VQ40_MOUSE","P19137","LAMA1"
"Lama5","LAMA5_MOUSE","Laminin subunit alpha-5 OS=Mus musculus OX=10090 GN=Lama5 PE=1 SV=4",43,31,34,34,36,"LAMA5_MOUSE","LAMA5_MOUSE","Q61001","LAMA5_MOUSE","Laminin subunit alpha-5 OS=Mus musculus OX=10090 GN=Lama5 PE=1 SV=4",43,31,34,34,36,"LAMA5_MOUSE","LAMA5_MOUSE","Q61001","LAMA5"
"Lamb1","E9QN70_MOUSE","Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=1",44,32,31,41,38,"E9QN70_MOUSE (+1)","E9QN70_MOUSE","E9QN70","E9QN70_MOUSE","Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=1",44,32,31,41,38,"E9QN70_MOUSE (+1)","E9QN70_MOUSE","E9QN70","LAMB1"
"Lamb2","LAMB2_MOUSE","Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2",35,21,25,26,28,"LAMB2_MOUSE","LAMB2_MOUSE","Q61292","LAMB2_MOUSE","Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2",35,21,25,26,28,"LAMB2_MOUSE","LAMB2_MOUSE","Q61292","LAMB2"
"Lamc1","F8VQJ3_MOUSE","Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=1",48,34,38,41,43,"F8VQJ3_MOUSE","F8VQJ3_MOUSE","F8VQJ3","F8VQJ3_MOUSE","Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=1",48,34,38,41,43,"F8VQJ3_MOUSE","F8VQJ3_MOUSE","F8VQJ3","LAMC1"
"Lamp1","LAMP1_MOUSE","Lysosome-associated membrane glycoprotein 1 OS=Mus musculus OX=10090 GN=Lamp1 PE=1 SV=2",2,2,2,2,2,"LAMP1_MOUSE","LAMP1_MOUSE","P11438","LAMP1_MOUSE","Lysosome-associated membrane glycoprotein 1 OS=Mus musculus OX=10090 GN=Lamp1 PE=1 SV=2",2,2,2,2,2,"LAMP1_MOUSE","LAMP1_MOUSE","P11438","LAMP1"
"Lamp2","LAMP2_MOUSE","Isoform LAMP-2B of Lysosome-associated membrane glycoprotein 2 OS=Mus musculus OX=10090 GN=Lamp2",2,3,2,2,3,"sp|P17047-2|LAMP2_MOUSE (+2)","LAMP2_MOUSE","P17047","LAMP2_MOUSE","Isoform LAMP-2B of Lysosome-associated membrane glycoprotein 2 OS=Mus musculus OX=10090 GN=Lamp2",2,3,2,2,3,"sp|P17047-2|LAMP2_MOUSE (+2)","LAMP2_MOUSE","P17047","LAMP2"
"Lap3","AMPL_MOUSE","Isoform 2 of Cytosol aminopeptidase OS=Mus musculus OX=10090 GN=Lap3",11,10,8,12,7,"sp|Q9CPY7-2|AMPL_MOUSE (+1)","AMPL_MOUSE","Q9CPY7","AMPL_MOUSE","Isoform 2 of Cytosol aminopeptidase OS=Mus musculus OX=10090 GN=Lap3",11,10,8,12,7,"sp|Q9CPY7-2|AMPL_MOUSE (+1)","AMPL_MOUSE","Q9CPY7","LAP3"
"Lasp1","LASP1_MOUSE","LIM and SH3 domain protein 1 OS=Mus musculus OX=10090 GN=Lasp1 PE=1 SV=1",11,9,8,6,6,"LASP1_MOUSE","LASP1_MOUSE","Q61792","LASP1_MOUSE","LIM and SH3 domain protein 1 OS=Mus musculus OX=10090 GN=Lasp1 PE=1 SV=1",11,9,8,6,6,"LASP1_MOUSE","LASP1_MOUSE","Q61792","LASP1"
"Lcn2","A0A0A6YW77_MOUSE","Neutrophil gelatinase-associated lipocalin (Fragment) OS=Mus musculus OX=10090 GN=Lcn2 PE=1 SV=1",2,2,2,0,3,"A0A0A6YW77_MOUSE (+1)","A0A0A6YW77_MOUSE","A0A0A6YW77","A0A0A6YW77_MOUSE","Neutrophil gelatinase-associated lipocalin (Fragment) OS=Mus musculus OX=10090 GN=Lcn2 PE=1 SV=1",2,2,2,0,3,"A0A0A6YW77_MOUSE (+1)","A0A0A6YW77_MOUSE","A0A0A6YW77","LCN2"
"Lcp1","PLSL_MOUSE","Plastin-2 OS=Mus musculus OX=10090 GN=Lcp1 PE=1 SV=4",34,25,25,31,29,"PLSL_MOUSE","PLSL_MOUSE","Q61233","PLSL_MOUSE","Plastin-2 OS=Mus musculus OX=10090 GN=Lcp1 PE=1 SV=4",34,25,25,31,29,"PLSL_MOUSE","PLSL_MOUSE","Q61233","LCP1"
"Ldha","A0A1B0GSX0_MOUSE","L-lactate dehydrogenase OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=1",20,20,17,21,20,"A0A1B0GSX0_MOUSE (+1)","A0A1B0GSX0_MOUSE","A0A1B0GSX0","A0A1B0GSX0_MOUSE","L-lactate dehydrogenase OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=1",20,20,17,21,20,"A0A1B0GSX0_MOUSE (+1)","A0A1B0GSX0_MOUSE","A0A1B0GSX0","LDHA"
"Ldhb","LDHB_MOUSE","L-lactate dehydrogenase B chain OS=Mus musculus OX=10090 GN=Ldhb PE=1 SV=2",11,10,6,11,9,"LDHB_MOUSE","LDHB_MOUSE","P16125","LDHB_MOUSE","L-lactate dehydrogenase B chain OS=Mus musculus OX=10090 GN=Ldhb PE=1 SV=2",11,10,6,11,9,"LDHB_MOUSE","LDHB_MOUSE","P16125","LDHB"
"Ldlr","A0A1L1SRE8_MOUSE","Low-density lipoprotein receptor OS=Mus musculus OX=10090 GN=Ldlr PE=1 SV=1",4,0,2,4,3,"A0A1L1SRE8_MOUSE (+1)","A0A1L1SRE8_MOUSE","A0A1L1SRE8","A0A1L1SRE8_MOUSE","Low-density lipoprotein receptor OS=Mus musculus OX=10090 GN=Ldlr PE=1 SV=1",4,0,2,4,3,"A0A1L1SRE8_MOUSE (+1)","A0A1L1SRE8_MOUSE","A0A1L1SRE8","LDLR"
"Lgals1","LEG1_MOUSE","Galectin-1 OS=Mus musculus OX=10090 GN=Lgals1 PE=1 SV=3",7,7,8,7,9,"LEG1_MOUSE","LEG1_MOUSE","P16045","LEG1_MOUSE","Galectin-1 OS=Mus musculus OX=10090 GN=Lgals1 PE=1 SV=3",7,7,8,7,9,"LEG1_MOUSE","LEG1_MOUSE","P16045","LGALS1"
"Lgals3","LEG3_MOUSE","Galectin-3 OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=3",9,8,7,9,8,"LEG3_MOUSE (+1)","LEG3_MOUSE","P16110","LEG3_MOUSE","Galectin-3 OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=3",9,8,7,9,8,"LEG3_MOUSE (+1)","LEG3_MOUSE","P16110","LGALS3"
"Lgals3bp","LG3BP_MOUSE","Galectin-3-binding protein OS=Mus musculus OX=10090 GN=Lgals3bp PE=1 SV=1",16,17,17,20,15,"LG3BP_MOUSE","LG3BP_MOUSE","Q07797","LG3BP_MOUSE","Galectin-3-binding protein OS=Mus musculus OX=10090 GN=Lgals3bp PE=1 SV=1",16,17,17,20,15,"LG3BP_MOUSE","LG3BP_MOUSE","Q07797","LGALS3BP"
"Lgals9","B1AQR8_MOUSE","Galectin OS=Mus musculus OX=10090 GN=Lgals9 PE=1 SV=1",6,2,5,4,4,"B1AQR8_MOUSE (+4)","B1AQR8_MOUSE","B1AQR8","B1AQR8_MOUSE","Galectin OS=Mus musculus OX=10090 GN=Lgals9 PE=1 SV=1",6,2,5,4,4,"B1AQR8_MOUSE (+4)","B1AQR8_MOUSE","B1AQR8","LGALS9"
"Lgmn","LGMN_MOUSE","Legumain OS=Mus musculus OX=10090 GN=Lgmn PE=1 SV=1",10,8,10,10,11,"LGMN_MOUSE","LGMN_MOUSE","O89017","LGMN_MOUSE","Legumain OS=Mus musculus OX=10090 GN=Lgmn PE=1 SV=1",10,8,10,10,11,"LGMN_MOUSE","LGMN_MOUSE","O89017","LGMN"
"Lifr","LIFR_MOUSE","Isoform 2 of Leukemia inhibitory factor receptor OS=Mus musculus OX=10090 GN=Lifr",11,7,3,10,6,"sp|P42703-2|LIFR_MOUSE","LIFR_MOUSE","P42703","LIFR_MOUSE","Isoform 2 of Leukemia inhibitory factor receptor OS=Mus musculus OX=10090 GN=Lifr",11,7,3,10,6,"sp|P42703-2|LIFR_MOUSE","LIFR_MOUSE","P42703","LIFR"
"Lman2","LMAN2_MOUSE","Vesicular integral-membrane protein VIP36 OS=Mus musculus OX=10090 GN=Lman2 PE=1 SV=2",8,6,3,4,5,"LMAN2_MOUSE","LMAN2_MOUSE","Q9DBH5","LMAN2_MOUSE","Vesicular integral-membrane protein VIP36 OS=Mus musculus OX=10090 GN=Lman2 PE=1 SV=2",8,6,3,4,5,"LMAN2_MOUSE","LMAN2_MOUSE","Q9DBH5","LMAN2"
"Lmcd1","LMCD1_MOUSE","LIM and cysteine-rich domains protein 1 OS=Mus musculus OX=10090 GN=Lmcd1 PE=1 SV=1",7,7,5,6,7,"LMCD1_MOUSE","LMCD1_MOUSE","Q8VEE1","LMCD1_MOUSE","LIM and cysteine-rich domains protein 1 OS=Mus musculus OX=10090 GN=Lmcd1 PE=1 SV=1",7,7,5,6,7,"LMCD1_MOUSE","LMCD1_MOUSE","Q8VEE1","LMCD1"
"Lmna","LMNA_MOUSE","Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2",27,28,22,31,30,"sp|P48678|LMNA_MOUSE","LMNA_MOUSE","P48678","LMNA_MOUSE","Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2",27,28,22,31,30,"sp|P48678|LMNA_MOUSE","LMNA_MOUSE","P48678","LMNA"
"Lmnb1","LMNB1_MOUSE","Lamin-B1 OS=Mus musculus OX=10090 GN=Lmnb1 PE=1 SV=3",18,11,4,16,12,"LMNB1_MOUSE","LMNB1_MOUSE","P14733","LMNB1_MOUSE","Lamin-B1 OS=Mus musculus OX=10090 GN=Lmnb1 PE=1 SV=3",18,11,4,16,12,"LMNB1_MOUSE","LMNB1_MOUSE","P14733","LMNB1"
"Lox","LYOX_MOUSE","Protein-lysine 6-oxidase OS=Mus musculus OX=10090 GN=Lox PE=1 SV=1",4,2,4,6,5,"LYOX_MOUSE","LYOX_MOUSE","P28301","LYOX_MOUSE","Protein-lysine 6-oxidase OS=Mus musculus OX=10090 GN=Lox PE=1 SV=1",4,2,4,6,5,"LYOX_MOUSE","LYOX_MOUSE","P28301","LOX"
"Loxl2","LOXL2_MOUSE","Lysyl oxidase homolog 2 OS=Mus musculus OX=10090 GN=Loxl2 PE=1 SV=2",10,6,7,14,11,"sp|P58022|LOXL2_MOUSE","LOXL2_MOUSE","P58022","LOXL2_MOUSE","Lysyl oxidase homolog 2 OS=Mus musculus OX=10090 GN=Loxl2 PE=1 SV=2",10,6,7,14,11,"sp|P58022|LOXL2_MOUSE","LOXL2_MOUSE","P58022","LOXL2"
"Lpl","LIPL_MOUSE","Lipoprotein lipase OS=Mus musculus OX=10090 GN=Lpl PE=1 SV=3",7,7,8,6,7,"LIPL_MOUSE","LIPL_MOUSE","P11152","LIPL_MOUSE","Lipoprotein lipase OS=Mus musculus OX=10090 GN=Lpl PE=1 SV=3",7,7,8,6,7,"LIPL_MOUSE","LIPL_MOUSE","P11152","LPL"
"Lrp1","A0A0R4J0I9_MOUSE","Low density lipoprotein receptor-related protein 1 OS=Mus musculus OX=10090 GN=Lrp1 PE=1 SV=1",2,2,3,7,4,"A0A0R4J0I9_MOUSE (+1)","A0A0R4J0I9_MOUSE","A0A0R4J0I9","A0A0R4J0I9_MOUSE","Low density lipoprotein receptor-related protein 1 OS=Mus musculus OX=10090 GN=Lrp1 PE=1 SV=1",2,2,3,7,4,"A0A0R4J0I9_MOUSE (+1)","A0A0R4J0I9_MOUSE","A0A0R4J0I9","LRP1"
"Lrrc59","LRC59_MOUSE","Leucine-rich repeat-containing protein 59 OS=Mus musculus OX=10090 GN=Lrrc59 PE=1 SV=1",2,0,2,3,2,"LRC59_MOUSE","LRC59_MOUSE","Q922Q8","LRC59_MOUSE","Leucine-rich repeat-containing protein 59 OS=Mus musculus OX=10090 GN=Lrrc59 PE=1 SV=1",2,0,2,3,2,"LRC59_MOUSE","LRC59_MOUSE","Q922Q8","LRRC59"
"Lsm8","LSM8_MOUSE","U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus OX=10090 GN=Lsm8 PE=1 SV=3",3,3,0,2,3,"LSM8_MOUSE","LSM8_MOUSE","Q6ZWM4","LSM8_MOUSE","U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus OX=10090 GN=Lsm8 PE=1 SV=3",3,3,0,2,3,"LSM8_MOUSE","LSM8_MOUSE","Q6ZWM4","LSM8"
"Lta4h","LKHA4_MOUSE","Leukotriene A-4 hydrolase OS=Mus musculus OX=10090 GN=Lta4h PE=1 SV=4",22,16,16,17,22,"LKHA4_MOUSE","LKHA4_MOUSE","P24527","LKHA4_MOUSE","Leukotriene A-4 hydrolase OS=Mus musculus OX=10090 GN=Lta4h PE=1 SV=4",22,16,16,17,22,"LKHA4_MOUSE","LKHA4_MOUSE","P24527","LTA4H"
"Ltf","TRFL_MOUSE","Lactotransferrin OS=Mus musculus OX=10090 GN=Ltf PE=1 SV=4",6,2,3,9,4,"TRFL_MOUSE","TRFL_MOUSE","P08071","TRFL_MOUSE","Lactotransferrin OS=Mus musculus OX=10090 GN=Ltf PE=1 SV=4",6,2,3,9,4,"TRFL_MOUSE","TRFL_MOUSE","P08071","LTF"
"Lum","LUM_MOUSE","Lumican OS=Mus musculus OX=10090 GN=Lum PE=1 SV=2",7,7,7,10,10,"LUM_MOUSE","LUM_MOUSE","P51885","LUM_MOUSE","Lumican OS=Mus musculus OX=10090 GN=Lum PE=1 SV=2",7,7,7,10,10,"LUM_MOUSE","LUM_MOUSE","P51885","LUM"
"Lypla1","LYPA1_MOUSE","Isoform 2 of Acyl-protein thioesterase 1 OS=Mus musculus OX=10090 GN=Lypla1",3,2,2,2,3,"sp|P97823-2|LYPA1_MOUSE","LYPA1_MOUSE","P97823","LYPA1_MOUSE","Isoform 2 of Acyl-protein thioesterase 1 OS=Mus musculus OX=10090 GN=Lypla1",3,2,2,2,3,"sp|P97823-2|LYPA1_MOUSE","LYPA1_MOUSE","P97823","LYPLA1"
"Lyz2","LYZ2_MOUSE","Lysozyme C-2 OS=Mus musculus OX=10090 GN=Lyz2 PE=1 SV=2",2,3,4,3,3,"LYZ2_MOUSE","LYZ2_MOUSE","P08905","LYZ2_MOUSE","Lysozyme C-2 OS=Mus musculus OX=10090 GN=Lyz2 PE=1 SV=2",2,3,4,3,3,"LYZ2_MOUSE","LYZ2_MOUSE","P08905","LYZ"
"Lzic","LZIC_MOUSE","Protein LZIC OS=Mus musculus OX=10090 GN=Lzic PE=1 SV=1",4,2,0,3,3,"LZIC_MOUSE","LZIC_MOUSE","Q8K3C3","LZIC_MOUSE","Protein LZIC OS=Mus musculus OX=10090 GN=Lzic PE=1 SV=1",4,2,0,3,3,"LZIC_MOUSE","LZIC_MOUSE","Q8K3C3","LZIC"
"Magohb","A0A023T778_MOUSE","Mago nashi protein OS=Mus musculus OX=10090 GN=Magohb PE=1 SV=1",5,2,2,3,2,"A0A023T778_MOUSE (+2)","A0A023T778_MOUSE","A0A023T778","A0A023T778_MOUSE","Mago nashi protein OS=Mus musculus OX=10090 GN=Magohb PE=1 SV=1",5,2,2,3,2,"A0A023T778_MOUSE (+2)","A0A023T778_MOUSE","A0A023T778","MAGOHB"
"Man1a","A0A1W2P788_MOUSE","alpha-1,2-Mannosidase (Fragment) OS=Mus musculus OX=10090 GN=Man1a PE=1 SV=1",7,7,3,9,7,"A0A1W2P788_MOUSE (+1)","A0A1W2P788_MOUSE","A0A1W2P788","A0A1W2P788_MOUSE","alpha-1,2-Mannosidase (Fragment) OS=Mus musculus OX=10090 GN=Man1a PE=1 SV=1",7,7,3,9,7,"A0A1W2P788_MOUSE (+1)","A0A1W2P788_MOUSE","A0A1W2P788","MAN1A1"
"Man2a1","MA2A1_MOUSE","Alpha-mannosidase 2 OS=Mus musculus OX=10090 GN=Man2a1 PE=1 SV=2",19,13,12,16,17,"MA2A1_MOUSE","MA2A1_MOUSE","P27046","MA2A1_MOUSE","Alpha-mannosidase 2 OS=Mus musculus OX=10090 GN=Man2a1 PE=1 SV=2",19,13,12,16,17,"MA2A1_MOUSE","MA2A1_MOUSE","P27046","MAN2A1"
"Man2b1","MA2B1_MOUSE","Lysosomal alpha-mannosidase OS=Mus musculus OX=10090 GN=Man2b1 PE=1 SV=4",7,3,3,7,5,"MA2B1_MOUSE","MA2B1_MOUSE","O09159","MA2B1_MOUSE","Lysosomal alpha-mannosidase OS=Mus musculus OX=10090 GN=Man2b1 PE=1 SV=4",7,3,3,7,5,"MA2B1_MOUSE","MA2B1_MOUSE","O09159","MAN2B1"
