#,Visible?,Starred?,Identified Proteins (1467),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,BioSample 1,BioSample 2,BioSample 3,BioSample 4,BioSample 5,MP
1225,TRUE,Empty,"Spectrin alpha chain, erythrocytic 1 OS=Mus musculus OX=10090 GN=Spta1 PE=1 SV=3",SPTA1_MOUSE,,280 kDa,TRUE,unknown,0,4,0,4,0,1.6
896,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit J-A OS=Mus musculus OX=10090 GN=Eif3j1 PE=2 SV=1,EI3JA_MOUSE (+1),,29 kDa,,unknown,3,7,0,3,5,3.6
897,TRUE,Empty,Isoform 3 of Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Mus musculus OX=10090 GN=Hnrnpc,sp|Q9Z204-3|HNRPC_MOUSE (+1),,32 kDa,,unknown,2,4,3,4,2,3
678,TRUE,Empty,"Superoxide dismutase [Mn], mitochondrial OS=Mus musculus OX=10090 GN=Sod2 PE=1 SV=3",SODM_MOUSE,,25 kDa,,unknown,4,2,2,2,3,2.6
975,TRUE,Empty,26S proteasome regulatory subunit 6A OS=Mus musculus OX=10090 GN=Psmc3 PE=1 SV=1,A2AGN7_MOUSE (+1),,45 kDa,,unknown,3,0,3,5,5,3.2
673,TRUE,Empty,Inosine triphosphate pyrophosphatase OS=Mus musculus OX=10090 GN=Itpa PE=1 SV=2,ITPA_MOUSE,,22 kDa,,unknown,5,4,0,5,4,3.6
867,TRUE,Empty,26S proteasome regulatory subunit 8 OS=Mus musculus OX=10090 GN=Psmc5 PE=1 SV=1,PRS8_MOUSE,,46 kDa,,unknown,4,3,0,5,3,3
641,TRUE,Empty,Dynactin subunit 2 OS=Mus musculus OX=10090 GN=Dctn2 PE=1 SV=3,DCTN2_MOUSE,,44 kDa,,unknown,7,3,0,4,5,3.8
1226,TRUE,Empty,Protein S100-A8 OS=Mus musculus OX=10090 GN=S100a8 PE=1 SV=3,S10A8_MOUSE,,10 kDa,,unknown,0,2,0,3,0,1
822,TRUE,Empty,GDH/6PGL endoplasmic bifunctional protein OS=Mus musculus OX=10090 GN=H6pd PE=1 SV=1,A2A7A7_MOUSE (+1),,90 kDa,,unknown,7,4,2,0,7,4
766,TRUE,Empty,Isoform 3 of Serine protease HTRA3 OS=Mus musculus OX=10090 GN=Htra3,sp|Q9D236-1|HTRA3_MOUSE (+1),,49 kDa,,unknown,4,2,0,6,5,3.4
1121,TRUE,Empty,Sorting nexin-5 OS=Mus musculus OX=10090 GN=Snx5 PE=1 SV=1,SNX5_MOUSE,,47 kDa,TRUE,unknown,4,3,0,4,2,2.6
1046,TRUE,Empty,Rho-associated protein kinase 2 (Fragment) OS=Mus musculus OX=10090 GN=Rock2 PE=1 SV=1,A0A1Y7VMN0_MOUSE (+1),,167 kDa,TRUE,unknown,2,0,0,0,3,1
716,TRUE,Empty,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1,ASPG_MOUSE,,37 kDa,,unknown,5,3,4,4,4,4
434,TRUE,Empty,"10 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspe1 PE=1 SV=2",CH10_MOUSE,,11 kDa,,unknown,4,4,2,3,2,3
696,TRUE,Empty,Sct protein OS=Mus musculus OX=10090 GN=Sct PE=2 SV=1,Q80ZS9_MOUSE (+1),,16 kDa,,unknown,3,4,3,4,3,3.4
767,TRUE,Empty,Ras-related protein Rap-1b OS=Mus musculus OX=10090 GN=Rap1b PE=1 SV=2,RAP1B_MOUSE,,21 kDa,,unknown,5,5,3,3,6,4.4
684,TRUE,Empty,Macrophage colony-stimulating factor 1 receptor OS=Mus musculus OX=10090 GN=Csf1r PE=1 SV=3,CSF1R_MOUSE,,109 kDa,,unknown,6,2,2,4,3,3.4
841,TRUE,Empty,Ribosome maturation protein SBDS OS=Mus musculus OX=10090 GN=Sbds PE=1 SV=4,SBDS_MOUSE,,29 kDa,,unknown,6,3,2,6,3,4
621,TRUE,Empty,Isoform A of Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f,sp|O88632-2|SEM3F_MOUSE (+1),,85 kDa,TRUE,unknown,5,2,3,2,4,3.2
923,TRUE,Empty,Tubulin-specific chaperone A OS=Mus musculus OX=10090 GN=Tbca PE=1 SV=1,A0A1Y7VJ48_MOUSE (+1),,10 kDa,,unknown,4,2,3,2,3,2.8
893,TRUE,Empty,Cell division control protein 42 homolog OS=Mus musculus OX=10090 GN=Cdc42 PE=1 SV=2,sp|P60766|CDC42_MOUSE,,21 kDa,,unknown,3,4,2,4,3,3.2
667,TRUE,Empty,Coronin-1B OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1,COR1B_MOUSE,,54 kDa,,unknown,3,2,0,3,4,2.4
331,TRUE,Empty,Isoform 2 of Prolactin-7A1 OS=Mus musculus OX=10090 GN=Prl7a1,sp|O54830-2|PR7A1_MOUSE (+1),,30 kDa,,unknown,4,4,0,4,5,3.4
1134,TRUE,Empty,Prolactin-7C1 OS=Mus musculus OX=10090 GN=Prl7c1 PE=2 SV=1,PR7C1_MOUSE,,29 kDa,,unknown,2,0,0,0,2,0.8
771,TRUE,Empty,Nucleobindin-2 OS=Mus musculus OX=10090 GN=Nucb2 PE=1 SV=2,NUCB2_MOUSE (+1),,50 kDa,,unknown,4,4,0,4,4,3.2
47,TRUE,Empty,Pregnancy-specific glycoprotein 25 OS=Mus musculus OX=10090 GN=Psg25 PE=2 SV=1,Q497W1_MOUSE,,54 kDa,TRUE,unknown,7,2,0,3,3,3
594,TRUE,Empty,Osteoclast-stimulating factor 1 OS=Mus musculus OX=10090 GN=Ostf1 PE=1 SV=2,OSTF1_MOUSE,,24 kDa,,unknown,4,4,2,4,5,3.8
874,TRUE,Empty,Allograft inflammatory factor 1-like OS=Mus musculus OX=10090 GN=Aif1l PE=1 SV=1,AIF1L_MOUSE,,17 kDa,,unknown,4,3,2,2,3,2.8
754,TRUE,Empty,40S ribosomal protein S15a OS=Mus musculus OX=10090 GN=Rps15a PE=1 SV=2,RS15A_MOUSE,,15 kDa,,unknown,3,4,3,2,5,3.4
578,TRUE,Empty,Ubiquitin-conjugating enzyme E2 K OS=Mus musculus OX=10090 GN=Ube2k PE=1 SV=3,UBE2K_MOUSE,,22 kDa,,unknown,4,4,2,5,3,3.6
721,TRUE,Empty,Macrophage colony-stimulating factor 1 OS=Mus musculus OX=10090 GN=Csf1 PE=1 SV=2,sp|P07141|CSF1_MOUSE,,61 kDa,,unknown,3,2,4,4,4,3.4
760,TRUE,Empty,"Hydroxyacylglutathione hydrolase, mitochondrial OS=Mus musculus OX=10090 GN=Hagh PE=1 SV=1",A0A0R4J052_MOUSE (+3),,29 kDa,,unknown,3,2,4,3,2,2.8
770,TRUE,Empty,Isoform 2 of Lactadherin OS=Mus musculus OX=10090 GN=Mfge8,sp|P21956-2|MFGM_MOUSE (+1),,47 kDa,,unknown,4,2,2,2,5,3
406,TRUE,Empty,Interleukin-1 receptor type 2 OS=Mus musculus OX=10090 GN=Il1r2 PE=1 SV=1,IL1R2_MOUSE,,46 kDa,,unknown,6,5,2,5,3,4.2
558,TRUE,Empty,"Cadherin 1, isoform CRA_b OS=Mus musculus OX=10090 GN=Cdh1 PE=1 SV=1",A0A0R4IZW5_MOUSE (+1),,98 kDa,,unknown,4,2,2,3,6,3.4
617,TRUE,Empty,Sorbitol dehydrogenase OS=Mus musculus OX=10090 GN=Sord PE=1 SV=3,DHSO_MOUSE,,38 kDa,,unknown,5,0,0,3,4,2.4
599,TRUE,Empty,40S ribosomal protein S20 OS=Mus musculus OX=10090 GN=Rps20 PE=1 SV=1,RS20_MOUSE,,13 kDa,,unknown,2,2,0,2,2,1.6
1018,TRUE,Empty,LRP chaperone MESD OS=Mus musculus OX=10090 GN=Mesd PE=1 SV=1,MESD_MOUSE,,25 kDa,,unknown,2,2,2,4,4,2.8
1031,TRUE,Empty,Aminopeptidase N OS=Mus musculus OX=10090 GN=Anpep PE=1 SV=4,AMPN_MOUSE,,110 kDa,,unknown,3,4,3,3,0,2.6
642,TRUE,Empty,Plasminogen OS=Mus musculus OX=10090 GN=Plg PE=1 SV=3,PLMN_MOUSE,,91 kDa,,unknown,2,3,4,2,2,2.6
948,TRUE,Empty,Galactokinase OS=Mus musculus OX=10090 GN=Galk1 PE=1 SV=2,GALK1_MOUSE,,42 kDa,,unknown,3,3,0,3,5,2.8
1200,TRUE,Empty,RIKEN cDNA 4931406C07 gene OS=Mus musculus OX=10090 GN=4931406C07Rik PE=1 SV=1,A0A1L1SSF8_MOUSE (+1),,31 kDa,,unknown,2,0,0,5,0,1.4
774,TRUE,Empty,SUMO-activating enzyme subunit 1 OS=Mus musculus OX=10090 GN=Sae1 PE=1 SV=1,sp|Q9R1T2|SAE1_MOUSE,,39 kDa,,unknown,4,2,2,4,4,3.2
1227,TRUE,Empty,High mobility group protein B2 OS=Mus musculus OX=10090 GN=Hmgb2 PE=1 SV=3,HMGB2_MOUSE,,24 kDa,TRUE,unknown,0,5,0,3,2,2
837,TRUE,Empty,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Hdhd2 PE=1 SV=2,sp|Q3UGR5|HDHD2_MOUSE,,29 kDa,,unknown,3,0,2,3,5,2.6
945,TRUE,Empty,Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus OX=10090 GN=Aldh16a1 PE=1 SV=1,A0A1B0GSU0_MOUSE (+2),,85 kDa,,unknown,3,5,0,6,5,3.8
877,TRUE,Empty,Ras-related protein Rab-7a OS=Mus musculus OX=10090 GN=Rab7a PE=1 SV=2,RAB7A_MOUSE,,23 kDa,,unknown,4,4,0,3,5,3.2
640,TRUE,Empty,Argininosuccinate lyase OS=Mus musculus OX=10090 GN=Asl PE=1 SV=1,ARLY_MOUSE,,52 kDa,,unknown,6,3,0,7,4,4
665,TRUE,Empty,"Glycogen phosphorylase, brain form OS=Mus musculus OX=10090 GN=Pygb PE=1 SV=3",PYGB_MOUSE,,97 kDa,TRUE,unknown,2,3,0,5,4,2.8
900,TRUE,Empty,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Fragment) OS=Mus musculus OX=10090 GN=Anp32a PE=1 SV=1,D3YYE1_MOUSE,,23 kDa,TRUE,unknown,4,4,0,3,3,2.8
401,TRUE,Empty,Leukocyte elastase inhibitor A OS=Mus musculus OX=10090 GN=Serpinb1a PE=1 SV=1,ILEUA_MOUSE,,43 kDa,,unknown,6,0,0,8,3,3.4
1093,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus OX=10090 GN=Eif3c PE=1 SV=1,EIF3C_MOUSE,,106 kDa,,unknown,3,6,0,5,2,3.2
679,TRUE,Empty,Tumor necrosis factor receptor superfamily member 11B OS=Mus musculus OX=10090 GN=Tnfrsf11b PE=1 SV=1,TR11B_MOUSE,,46 kDa,,unknown,5,2,0,3,3,2.6
688,TRUE,Empty,Protein arginine N-methyltransferase 1 OS=Mus musculus OX=10090 GN=Prmt1 PE=1 SV=1,A0A171KXD3_MOUSE,,37 kDa,,unknown,6,3,0,5,6,4
616,TRUE,Empty,Probable aminopeptidase NPEPL1 OS=Mus musculus OX=10090 GN=Npepl1 PE=1 SV=1,PEPL1_MOUSE,,56 kDa,,unknown,6,4,0,3,5,3.6
864,TRUE,Empty,Eukaryotic peptide chain release factor subunit 1 OS=Mus musculus OX=10090 GN=Etf1 PE=1 SV=4,ERF1_MOUSE,,49 kDa,,unknown,5,3,2,3,5,3.6
775,TRUE,Empty,60S ribosomal protein L30 OS=Mus musculus OX=10090 GN=Rpl30 PE=1 SV=2,RL30_MOUSE,,13 kDa,,unknown,4,3,2,3,3,3
810,TRUE,Empty,Glutamate--cysteine ligase catalytic subunit OS=Mus musculus OX=10090 GN=Gclc PE=1 SV=4,GSH1_MOUSE,,73 kDa,,unknown,5,3,2,3,2,3
654,TRUE,Empty,Ferritin OS=Mus musculus OX=10090 GN=Fthl17a PE=1 SV=1,Q9DAX0_MOUSE,,21 kDa,,unknown,4,2,2,5,2,3
821,TRUE,Empty,Eosinophil cationic protein 2 OS=Mus musculus OX=10090 GN=Ear2 PE=2 SV=1,ECP2_MOUSE,,18 kDa,TRUE,unknown,2,2,2,2,2,2
935,TRUE,Empty,NAD(P)H-hydrate epimerase OS=Mus musculus OX=10090 GN=Naxe PE=1 SV=1,NNRE_MOUSE,,31 kDa,,unknown,3,0,0,3,4,2
1048,TRUE,Empty,Transportin-1 (Fragment) OS=Mus musculus OX=10090 GN=Tnpo1 PE=1 SV=1,Q3TKD0_MOUSE (+2),,92 kDa,,unknown,3,2,2,4,4,3
693,TRUE,Empty,UV excision repair protein RAD23 homolog B OS=Mus musculus OX=10090 GN=Rad23b PE=1 SV=2,RD23B_MOUSE,,44 kDa,TRUE,unknown,4,2,2,4,3,3
995,TRUE,Empty,40S ribosomal protein S19 OS=Mus musculus OX=10090 GN=Rps19 PE=1 SV=3,RS19_MOUSE,,16 kDa,,unknown,2,5,0,2,3,2.4
878,TRUE,Empty,Dipeptidyl peptidase 1 OS=Mus musculus OX=10090 GN=Ctsc PE=1 SV=1,CATC_MOUSE,,52 kDa,,unknown,2,0,2,0,4,1.6
980,TRUE,Empty,Isoform 2 of Porphobilinogen deaminase OS=Mus musculus OX=10090 GN=Hmbs,sp|P22907-2|HEM3_MOUSE (+1),,38 kDa,,unknown,2,4,5,5,0,3.2
872,TRUE,Empty,Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1,M0QWP1_MOUSE,,217 kDa,,unknown,3,0,0,5,4,2.4
1228,TRUE,Empty,Alpha-1-antitrypsin 1-1 OS=Mus musculus OX=10090 GN=Serpina1a PE=1 SV=1,A0A0A0MQA3_MOUSE,,49 kDa,TRUE,unknown,0,3,0,4,7,2.8
1004,TRUE,Empty,Synaptobrevin homolog YKT6 OS=Mus musculus OX=10090 GN=Ykt6 PE=1 SV=1,YKT6_MOUSE,,22 kDa,,unknown,3,2,0,4,7,3.2
1072,TRUE,Empty,Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1,A0A087WP83_MOUSE (+1),,134 kDa,,unknown,2,4,0,4,3,2.6
978,TRUE,Empty,"Isoform 2 of Presequence protease, mitochondrial OS=Mus musculus OX=10090 GN=Pitrm1",sp|Q8K411-2|PREP_MOUSE (+2),,117 kDa,,unknown,2,2,0,0,2,1.2
836,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus OX=10090 GN=Eif3g PE=1 SV=2,EIF3G_MOUSE,,36 kDa,,unknown,4,2,0,4,6,3.2
1229,TRUE,Empty,"Isoform 2 of Deoxyguanosine kinase, mitochondrial OS=Mus musculus OX=10090 GN=Dguok",sp|Q9QX60-2|DGUOK_MOUSE (+1),,29 kDa,,unknown,0,0,0,0,2,0.4
301,TRUE,Empty,Isoform 2 of Eukaryotic initiation factor 4A-II OS=Mus musculus OX=10090 GN=Eif4a2,sp|P10630-2|IF4A2_MOUSE (+1),,46 kDa,TRUE,unknown,3,3,3,3,5,3.4
777,TRUE,Empty,Isoform 2 of Alpha-crystallin A chain OS=Mus musculus OX=10090 GN=Cryaa,sp|P24622-2|CRYAA_MOUSE,,20 kDa,,unknown,4,4,3,4,4,3.8
483,TRUE,Empty,Macrophage migration inhibitory factor OS=Mus musculus OX=10090 GN=Mif PE=1 SV=2,MIF_MOUSE,,13 kDa,,unknown,2,2,2,2,3,2.2
701,TRUE,Empty,Isoform 2 of Insulin-like growth factor II OS=Mus musculus OX=10090 GN=Igf2,sp|P09535-2|IGF2_MOUSE (+1),,21 kDa,,unknown,2,3,2,3,3,2.6
1034,TRUE,Empty,BAG family molecular chaperone regulator 1 OS=Mus musculus OX=10090 GN=Bag1 PE=1 SV=1,A0A1L1SRT0_MOUSE (+1),,40 kDa,,unknown,3,3,2,3,3,2.8
517,TRUE,Empty,Platelet factor 4 OS=Mus musculus OX=10090 GN=Pf4 PE=1 SV=1,PLF4_MOUSE,,11 kDa,,unknown,2,3,2,3,3,2.6
985,TRUE,Empty,Non-specific lipid-transfer protein OS=Mus musculus OX=10090 GN=Scp2 PE=1 SV=3,sp|P32020|NLTP_MOUSE,,59 kDa,,unknown,3,4,2,3,3,3
680,TRUE,Empty,Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus OX=10090 GN=Snrpd1 PE=1 SV=1,SMD1_MOUSE,,13 kDa,,unknown,3,3,0,4,3,2.6
637,TRUE,Empty,Histidine triad nucleotide-binding protein 1 OS=Mus musculus OX=10090 GN=Hint1 PE=1 SV=3,HINT1_MOUSE,,14 kDa,,unknown,3,3,0,4,4,2.8
735,TRUE,Empty,Phospholipase A-2-activating protein OS=Mus musculus OX=10090 GN=Plaa PE=1 SV=4,PLAP_MOUSE,,87 kDa,,unknown,7,2,0,4,4,3.4
881,TRUE,Empty,Phosphomannomutase 2 OS=Mus musculus OX=10090 GN=Pmm2 PE=1 SV=1,PMM2_MOUSE,,28 kDa,,unknown,3,2,0,2,0,1.4
752,TRUE,Empty,Glutathione synthetase OS=Mus musculus OX=10090 GN=Gss PE=1 SV=1,GSHB_MOUSE,,52 kDa,,unknown,5,0,3,2,4,2.8
1053,TRUE,Empty,Cytoskeleton-associated protein 4 OS=Mus musculus OX=10090 GN=Ckap4 PE=1 SV=2,CKAP4_MOUSE,,64 kDa,,unknown,4,0,2,4,3,2.6
883,TRUE,Empty,Calponin-2 OS=Mus musculus OX=10090 GN=Cnn2 PE=1 SV=1,CNN2_MOUSE,,33 kDa,TRUE,unknown,4,2,0,0,2,1.6
746,TRUE,Empty,NHL repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Nhlrc3 PE=1 SV=1,NHLC3_MOUSE,,38 kDa,,unknown,3,3,0,3,3,2.4
708,TRUE,Empty,Carboxypeptidase Q OS=Mus musculus OX=10090 GN=Cpq PE=1 SV=1,CBPQ_MOUSE,,52 kDa,,unknown,5,0,0,4,5,2.8
908,TRUE,Empty,Guanylate-binding protein 2 OS=Mus musculus OX=10090 GN=Gbp2 PE=1 SV=1,GBP2_MOUSE,,67 kDa,,unknown,5,0,0,5,4,2.8
768,TRUE,Empty,"UMP-CMP kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Cmpk2 PE=1 SV=2",CMPK2_MOUSE,,50 kDa,,unknown,5,0,3,5,0,2.6
597,TRUE,Empty,Protein transport protein Sec23B OS=Mus musculus OX=10090 GN=Sec23b PE=1 SV=1,SC23B_MOUSE,,86 kDa,TRUE,unknown,4,4,0,0,2,2
718,TRUE,Empty,Aminopeptidase B OS=Mus musculus OX=10090 GN=Rnpep PE=1 SV=2,AMPB_MOUSE,,72 kDa,,unknown,3,2,0,2,2,1.8
858,TRUE,Empty,Major vault protein OS=Mus musculus OX=10090 GN=Mvp PE=1 SV=1,E9Q3X0_MOUSE (+1),,97 kDa,,unknown,5,0,0,0,6,2.2
587,TRUE,Empty,Amyloid-like protein 2 OS=Mus musculus OX=10090 GN=Aplp2 PE=1 SV=4,sp|Q06335|APLP2_MOUSE,,80 kDa,TRUE,unknown,2,0,0,3,0,1
751,TRUE,Empty,"RAS-related C3 botulinum substrate 1, isoform CRA_a OS=Mus musculus OX=10090 GN=Rac1 PE=1 SV=1",Q3TLP8_MOUSE (+1),,23 kDa,,unknown,4,2,3,3,3,3
942,TRUE,Empty,Prostaglandin E synthase 3 OS=Mus musculus OX=10090 GN=Ptges3 PE=1 SV=1,TEBP_MOUSE,,19 kDa,,unknown,3,2,4,4,4,3.4
650,TRUE,Empty,Mago nashi protein OS=Mus musculus OX=10090 GN=Magohb PE=1 SV=1,A0A023T778_MOUSE (+2),,17 kDa,,unknown,5,2,2,3,2,2.8
705,TRUE,Empty,Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync1i2 PE=1 SV=1,A2BFF9_MOUSE (+2),,71 kDa,,unknown,5,3,2,3,2,3
755,TRUE,Empty,Isoform 2 of Cellular nucleic acid-binding protein OS=Mus musculus OX=10090 GN=Cnbp,sp|P53996-2|CNBP_MOUSE (+1),,19 kDa,,unknown,5,4,2,3,3,3.4
633,TRUE,Empty,C-C motif chemokine 2 OS=Mus musculus OX=10090 GN=Ccl2 PE=1 SV=1,CCL2_MOUSE,,16 kDa,,unknown,2,3,0,2,4,2.2
1230,TRUE,Empty,Sorting nexin-12 OS=Mus musculus OX=10090 GN=Snx12 PE=1 SV=1,SNX12_MOUSE,,19 kDa,TRUE,unknown,0,2,0,3,3,1.6
797,TRUE,Empty,Transforming growth factor beta-2 OS=Mus musculus OX=10090 GN=Tgfb2 PE=1 SV=1,A0A0A6YXU9_MOUSE (+1),,50 kDa,,unknown,4,2,0,5,2,2.6
715,TRUE,Empty,Isoform 2B of Desmocollin-2 OS=Mus musculus OX=10090 GN=Dsc2,sp|P55292-2|DSC2_MOUSE (+1),,94 kDa,,unknown,4,2,0,4,6,3.2
886,TRUE,Empty,Pyrroline-5-carboxylate reductase 3 OS=Mus musculus OX=10090 GN=Pycr3 PE=1 SV=2,P5CR3_MOUSE,,29 kDa,,unknown,5,0,0,3,4,2.4
921,TRUE,Empty,Glutamine--tRNA ligase OS=Mus musculus OX=10090 GN=Qars PE=1 SV=2,D3Z158_MOUSE (+1),,85 kDa,,unknown,5,0,0,3,3,2.2
963,TRUE,Empty,"Isoleucine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Iars PE=1 SV=2",SYIC_MOUSE,,144 kDa,,unknown,4,2,0,3,4,2.6
930,TRUE,Empty,Isoform 2 of cAMP-dependent protein kinase catalytic subunit alpha OS=Mus musculus OX=10090 GN=Prkaca,sp|P05132-2|KAPCA_MOUSE (+1),,40 kDa,TRUE,unknown,3,2,0,4,4,2.6
903,TRUE,Empty,Apoptosis inhibitor 5 OS=Mus musculus OX=10090 GN=Api5 PE=1 SV=2,API5_MOUSE,,57 kDa,,unknown,6,0,0,2,3,2.2
707,TRUE,Empty,Fumarylacetoacetase OS=Mus musculus OX=10090 GN=Fah PE=1 SV=2,FAAA_MOUSE,,46 kDa,,unknown,5,0,0,5,6,3.2
711,TRUE,Empty,Inhibin beta B chain OS=Mus musculus OX=10090 GN=Inhbb PE=2 SV=4,INHBB_MOUSE,,45 kDa,,unknown,6,0,0,4,3,2.6
1140,TRUE,Empty,Adenylosuccinate synthetase isozyme 1 OS=Mus musculus OX=10090 GN=Adssl1 PE=1 SV=2,sp|P28650|PURA1_MOUSE,,50 kDa,,unknown,2,0,0,2,0,0.8
1143,TRUE,Empty,Ras GTPase-activating protein-binding protein 1 OS=Mus musculus OX=10090 GN=G3bp1 PE=1 SV=1,G3BP1_MOUSE,,52 kDa,TRUE,unknown,3,2,0,4,0,1.8
607,TRUE,Empty,N-acetylneuraminate lyase OS=Mus musculus OX=10090 GN=Npl PE=1 SV=1,NPL_MOUSE,,35 kDa,,unknown,7,0,0,3,5,3
1032,TRUE,Empty,Putative helicase MOV-10 OS=Mus musculus OX=10090 GN=Mov10 PE=1 SV=2,D3YVL0_MOUSE (+3),,121 kDa,,unknown,4,0,0,3,4,2.2
326,TRUE,Empty,Tropomyosin beta chain OS=Mus musculus OX=10090 GN=Tpm2 PE=1 SV=1,A2AIM4_MOUSE (+1),,33 kDa,TRUE,unknown,4,3,2,2,3,2.8
793,TRUE,Empty,Serine/threonine-protein phosphatase 2A activator OS=Mus musculus OX=10090 GN=Ptpa PE=1 SV=1,PTPA_MOUSE,,37 kDa,,unknown,2,0,2,3,2,1.8
512,TRUE,Empty,Isoform LAMP-2B of Lysosome-associated membrane glycoprotein 2 OS=Mus musculus OX=10090 GN=Lamp2,sp|P17047-2|LAMP2_MOUSE (+2),,46 kDa,,unknown,2,3,2,2,3,2.4
1058,TRUE,Empty,GDP-L-fucose synthase OS=Mus musculus OX=10090 GN=Tsta3 PE=1 SV=3,FCL_MOUSE,,36 kDa,,unknown,2,0,2,0,2,1.2
1178,TRUE,Empty,"Sulfite oxidase, mitochondrial OS=Mus musculus OX=10090 GN=Suox PE=1 SV=2",SUOX_MOUSE,,61 kDa,,unknown,2,0,3,0,2,1.4
694,TRUE,Empty,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Mus musculus OX=10090 GN=Slc9a3r1 PE=1 SV=3,NHRF1_MOUSE,,39 kDa,,unknown,3,2,0,3,2,2
717,TRUE,Empty,Aldehyde dehydrogenase family 1 member A3 OS=Mus musculus OX=10090 GN=Aldh1a3 PE=1 SV=1,AL1A3_MOUSE,,56 kDa,TRUE,unknown,5,4,2,0,2,2.6
1231,TRUE,Empty,Predicted gene 8225 OS=Mus musculus OX=10090 GN=Gm8225 PE=3 SV=1,D3Z536_MOUSE,,32 kDa,,unknown,0,0,0,0,2,0.4
852,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit I OS=Mus musculus OX=10090 GN=Eif3i PE=1 SV=1,EIF3I_MOUSE,,36 kDa,,unknown,3,4,0,3,3,2.6
1232,TRUE,Empty,"Dynein light chain 1, cytoplasmic OS=Mus musculus OX=10090 GN=Dynll1 PE=1 SV=1",DYL1_MOUSE,,10 kDa,,unknown,0,2,0,2,2,1.2
899,TRUE,Empty,U1 small nuclear ribonucleoprotein A OS=Mus musculus OX=10090 GN=Snrpa PE=1 SV=3,SNRPA_MOUSE,,32 kDa,TRUE,unknown,2,0,0,2,3,1.4
1233,TRUE,Empty,S-methyl-5'-thioadenosine phosphorylase OS=Mus musculus OX=10090 GN=Mtap PE=1 SV=1,MTAP_MOUSE,,31 kDa,,unknown,0,0,0,4,3,1.4
1234,TRUE,Empty,Isoform 2 of Poly(rC)-binding protein 2 OS=Mus musculus OX=10090 GN=Pcbp2,sp|Q61990-2|PCBP2_MOUSE (+2),,35 kDa,TRUE,unknown,0,3,0,3,2,1.6
803,TRUE,Empty,Chitinase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Chid1 PE=1 SV=1,A0A0R4J058_MOUSE (+3),,36 kDa,,unknown,5,0,0,3,3,2.2
602,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus OX=10090 GN=Hnrnph1 PE=1 SV=3,HNRH1_MOUSE (+1),,49 kDa,TRUE,unknown,2,0,0,2,2,1.2
1010,TRUE,Empty,Isoform 2 of Deaminated glutathione amidase OS=Mus musculus OX=10090 GN=Nit1,sp|Q8VDK1-2|NIT1_MOUSE (+1),,32 kDa,,unknown,3,2,0,4,2,2.2
1235,TRUE,Empty,Dihydropteridine reductase OS=Mus musculus OX=10090 GN=Qdpr PE=1 SV=2,DHPR_MOUSE,,26 kDa,,unknown,0,0,0,3,4,1.4
1009,TRUE,Empty,DNA topoisomerase 1 OS=Mus musculus OX=10090 GN=Top1 PE=1 SV=2,TOP1_MOUSE,,91 kDa,,unknown,2,2,0,3,3,2
1120,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus OX=10090 GN=Eif3e PE=1 SV=1,EIF3E_MOUSE,,52 kDa,,unknown,2,6,0,2,4,2.8
907,TRUE,Empty,Tropomodulin-3 OS=Mus musculus OX=10090 GN=Tmod3 PE=1 SV=1,TMOD3_MOUSE,,40 kDa,TRUE,unknown,5,0,2,3,2,2.4
892,TRUE,Empty,"CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Mus musculus OX=10090 GN=Trnt1 PE=1 SV=1",sp|Q8K1J6|TRNT1_MOUSE,,50 kDa,,unknown,6,2,0,3,4,3
1057,TRUE,Empty,Tubulin--tyrosine ligase-like protein 12 OS=Mus musculus OX=10090 GN=Ttll12 PE=1 SV=1,TTL12_MOUSE,,74 kDa,,unknown,2,2,0,2,3,1.8
