"Accession.New","MouseGeneName","Description","Accession.Number","Sample1","Sample2","Sample3","Sample4","Sample5","ProteinID"
"DPP2_MOUSE","Dpp7","Dipeptidyl peptidase 2 OS=Mus musculus OX=10090 GN=Dpp7 PE=1 SV=2","DPP2_MOUSE",4,3,3,5,3,"Q9ET22"
"DPP3_MOUSE","Dpp3","Dipeptidyl peptidase 3 OS=Mus musculus OX=10090 GN=Dpp3 PE=1 SV=2","DPP3_MOUSE",18,13,9,14,15,"Q99KK7"
"DPYL2_MOUSE","Dpysl2","Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2","DPYL2_MOUSE",24,21,15,22,21,"O08553"
"DSC2_MOUSE","Dsc2","Isoform 2B of Desmocollin-2 OS=Mus musculus OX=10090 GN=Dsc2","sp|P55292-2|DSC2_MOUSE (+1)",4,2,0,4,6,"P55292"
"DSG2_MOUSE","Dsg2","Desmoglein-2 OS=Mus musculus OX=10090 GN=Dsg2 PE=1 SV=3","DSG2_MOUSE",9,3,4,8,8,"O55111"
"DX39B_MOUSE","Ddx39b","Spliceosome RNA helicase Ddx39b OS=Mus musculus OX=10090 GN=Ddx39b PE=1 SV=1","DX39B_MOUSE",8,6,4,9,8,"Q9Z1N5"
"DYHC1_MOUSE","Dync1h1","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2","DYHC1_MOUSE",16,12,0,14,18,"Q9JHU4"
"E0CYV0_MOUSE","Pcmt1","Protein-L-isoaspartate O-methyltransferase OS=Mus musculus OX=10090 GN=Pcmt1 PE=1 SV=1","E0CYV0_MOUSE (+4)",2,3,0,3,3,"E0CYV0"
"E9PWQ3_MOUSE","Col6a3","Collagen, type VI, alpha 3 OS=Mus musculus OX=10090 GN=Col6a3 PE=1 SV=2","E9PWQ3_MOUSE",49,39,29,66,53,"E9PWQ3"
"E9PX70_MOUSE","Col12a1","Collagen alpha-1(XII) chain OS=Mus musculus OX=10090 GN=Col12a1 PE=1 SV=1","E9PX70_MOUSE (+3)",20,4,8,29,29,"E9PX70"
"E9PXX7_MOUSE","Txndc5","Thioredoxin domain-containing protein 5 OS=Mus musculus OX=10090 GN=Txndc5 PE=1 SV=1","E9PXX7_MOUSE (+1)",11,9,9,9,12,"E9PXX7"
"E9PYI8_MOUSE","Usp14","Ubiquitin carboxyl-terminal hydrolase 14 OS=Mus musculus OX=10090 GN=Usp14 PE=1 SV=1","E9PYI8_MOUSE (+1)",3,4,0,6,6,"E9PYI8"
"E9PZ00_MOUSE","Psap","Prosaposin OS=Mus musculus OX=10090 GN=Psap PE=1 SV=1","E9PZ00_MOUSE (+1)",24,23,21,23,23,"E9PZ00"
"E9PZ87_MOUSE","Pappa2","Pappalysin 2 OS=Mus musculus OX=10090 GN=Pappa2 PE=1 SV=1","E9PZ87_MOUSE",22,15,3,20,17,"E9PZ87"
"E9PZF0_MOUSE","Gm20390","Nucleoside diphosphate kinase OS=Mus musculus OX=10090 GN=Gm20390 PE=3 SV=1","E9PZF0_MOUSE",14,12,13,13,15,"E9PZF0"
"E9Q1S3_MOUSE","Sec23a","Protein transport protein Sec23A OS=Mus musculus OX=10090 GN=Sec23a PE=1 SV=1","E9Q1S3_MOUSE (+1)",10,8,3,7,9,"E9Q1S3"
"E9Q616_MOUSE","Ahnak","AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1","E9Q616_MOUSE",7,7,7,8,10,"E9Q616"
"E9Q6J4_MOUSE","Ceacam3","Carcinoembryonic antigen-related cell adhesion molecule 3 OS=Mus musculus OX=10090 GN=Ceacam3 PE=4 SV=2","E9Q6J4_MOUSE",7,4,0,4,4,"E9Q6J4"
"E9Q6J7_MOUSE","Psg22","Pregnancy-specific glycoprotein 22 OS=Mus musculus OX=10090 GN=Psg22 PE=4 SV=1","E9Q6J7_MOUSE (+1)",6,4,5,3,7,"E9Q6J7"
"E9Q718_MOUSE","Plod2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Mus musculus OX=10090 GN=Plod2 PE=1 SV=1","E9Q718_MOUSE (+1)",9,4,5,12,10,"E9Q718"
"E9Q745_MOUSE","1600015I10Rik","Amine oxidase OS=Mus musculus OX=10090 GN=1600015I10Rik PE=3 SV=1","E9Q745_MOUSE",7,4,3,5,4,"E9Q745"
"E9QA16_MOUSE","Cald1","Caldesmon 1 OS=Mus musculus OX=10090 GN=Cald1 PE=1 SV=1","E9QA16_MOUSE (+1)",9,8,9,10,9,"E9QA16"
"E9QK48_MOUSE","Eml2","Echinoderm microtubule-associated protein-like 2 OS=Mus musculus OX=10090 GN=Eml2 PE=1 SV=1","E9QK48_MOUSE (+1)",8,5,7,6,7,"E9QK48"
"E9QKR0_MOUSE","Gnb2","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Mus musculus OX=10090 GN=Gnb2 PE=1 SV=1","E9QKR0_MOUSE",0,2,2,2,2,"E9QKR0"
"E9QN70_MOUSE","Lamb1","Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=1","E9QN70_MOUSE (+1)",44,32,31,41,38,"E9QN70"
"E9QPB2_MOUSE","Sbsn","Suprabasin OS=Mus musculus OX=10090 GN=Sbsn PE=1 SV=1","E9QPB2_MOUSE",10,10,7,13,14,"E9QPB2"
"E9QPX1_MOUSE","Col18a1","Collagen alpha-1(XVIII) chain OS=Mus musculus OX=10090 GN=Col18a1 PE=1 SV=1","E9QPX1_MOUSE (+1)",8,3,2,6,6,"E9QPX1"
"ECM1_MOUSE","Ecm1","Extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Ecm1 PE=1 SV=2","sp|Q61508|ECM1_MOUSE",13,6,7,11,12,"Q61508"
"ECP1_MOUSE","Ear1","Eosinophil cationic protein 1 OS=Mus musculus OX=10090 GN=Ear1 PE=2 SV=1","ECP1_MOUSE",2,2,2,2,0,"P97426"
"ECP2_MOUSE","Ear2","Eosinophil cationic protein 2 OS=Mus musculus OX=10090 GN=Ear2 PE=2 SV=1","ECP2_MOUSE",2,2,2,2,2,"P97425"
"EF1A1_MOUSE","Eef1a1","Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3","EF1A1_MOUSE",14,12,11,15,13,"P10126"
"EF1B_MOUSE","Eef1b","Elongation factor 1-beta OS=Mus musculus OX=10090 GN=Eef1b PE=1 SV=5","EF1B_MOUSE",5,6,4,5,6,"O70251"
"EF1G_MOUSE","Eef1g","Elongation factor 1-gamma OS=Mus musculus OX=10090 GN=Eef1g PE=1 SV=3","EF1G_MOUSE",15,14,11,17,15,"Q9D8N0"
"EF2_MOUSE","Eef2","Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2","EF2_MOUSE",36,31,30,33,36,"P58252"
"EI3JA_MOUSE","Eif3j1","Eukaryotic translation initiation factor 3 subunit J-A OS=Mus musculus OX=10090 GN=Eif3j1 PE=2 SV=1","EI3JA_MOUSE (+1)",3,7,0,3,5,"Q3UGC7"
"EIF2A_MOUSE","Eif2a","Eukaryotic translation initiation factor 2A OS=Mus musculus OX=10090 GN=Eif2a PE=1 SV=2","sp|Q8BJW6|EIF2A_MOUSE",3,3,0,3,4,"Q8BJW6"
"EIF3A_MOUSE","Eif3a","Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5","EIF3A_MOUSE",7,11,0,7,7,"P23116"
"EIF3B_MOUSE","Eif3b","Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus OX=10090 GN=Eif3b PE=1 SV=1","EIF3B_MOUSE",9,10,2,11,11,"Q8JZQ9"
"EIF3C_MOUSE","Eif3c","Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus OX=10090 GN=Eif3c PE=1 SV=1","EIF3C_MOUSE",3,6,0,5,2,"Q8R1B4"
"EIF3E_MOUSE","Eif3e","Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus OX=10090 GN=Eif3e PE=1 SV=1","EIF3E_MOUSE",2,6,0,2,4,"P60229"
"EIF3G_MOUSE","Eif3g","Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus OX=10090 GN=Eif3g PE=1 SV=2","EIF3G_MOUSE",4,2,0,4,6,"Q9Z1D1"
"EIF3H_MOUSE","Eif3h","Eukaryotic translation initiation factor 3 subunit H OS=Mus musculus OX=10090 GN=Eif3h PE=1 SV=1","EIF3H_MOUSE",2,3,0,5,5,"Q91WK2"
"EIF3I_MOUSE","Eif3i","Eukaryotic translation initiation factor 3 subunit I OS=Mus musculus OX=10090 GN=Eif3i PE=1 SV=1","EIF3I_MOUSE",3,4,0,3,3,"Q9QZD9"
"EIF3L_MOUSE","Eif3l","Eukaryotic translation initiation factor 3 subunit L OS=Mus musculus OX=10090 GN=Eif3l PE=1 SV=1","EIF3L_MOUSE",6,3,3,4,5,"Q8QZY1"
"ELAV1_MOUSE","Elavl1","ELAV-like protein 1 OS=Mus musculus OX=10090 GN=Elavl1 PE=1 SV=2","ELAV1_MOUSE",5,4,4,4,5,"P70372"
"ELOB_MOUSE","Elob","Elongin-B OS=Mus musculus OX=10090 GN=Elob PE=1 SV=1","ELOB_MOUSE",3,2,2,3,2,"P62869"
"ENOA_MOUSE","Eno1","Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3","ENOA_MOUSE",22,21,20,22,21,"P17182"
"ENPL_MOUSE","Hsp90b1","Endoplasmin OS=Mus musculus OX=10090 GN=Hsp90b1 PE=1 SV=2","ENPL_MOUSE",32,37,23,30,30,"P08113"
"EPDR1_MOUSE","Epdr1","Mammalian ependymin-related protein 1 OS=Mus musculus OX=10090 GN=Epdr1 PE=1 SV=1","sp|Q99M71|EPDR1_MOUSE",7,4,6,6,6,"Q99M71"
"ERAP1_MOUSE","Erap1","Endoplasmic reticulum aminopeptidase 1 OS=Mus musculus OX=10090 GN=Erap1 PE=1 SV=2","ERAP1_MOUSE",8,5,3,6,2,"Q9EQH2"
"ERF1_MOUSE","Etf1","Eukaryotic peptide chain release factor subunit 1 OS=Mus musculus OX=10090 GN=Etf1 PE=1 SV=4","ERF1_MOUSE",5,3,2,3,5,"Q8BWY3"
"ERO1A_MOUSE","Ero1a","ERO1-like protein alpha OS=Mus musculus OX=10090 GN=Ero1a PE=1 SV=2","ERO1A_MOUSE",10,11,6,10,10,"Q8R180"
"ERP29_MOUSE","Erp29","Endoplasmic reticulum resident protein 29 OS=Mus musculus OX=10090 GN=Erp29 PE=1 SV=2","ERP29_MOUSE",10,11,10,11,9,"P57759"
"ERP44_MOUSE","Erp44","Endoplasmic reticulum resident protein 44 OS=Mus musculus OX=10090 GN=Erp44 PE=1 SV=1","ERP44_MOUSE",7,5,5,6,7,"Q9D1Q6"
"ESTD_MOUSE","Esd","S-formylglutathione hydrolase OS=Mus musculus OX=10090 GN=Esd PE=1 SV=1","ESTD_MOUSE (+1)",9,8,5,10,8,"Q9R0P3"
"EWS_MOUSE","Ewsr1","RNA-binding protein EWS OS=Mus musculus OX=10090 GN=Ewsr1 PE=1 SV=2","EWS_MOUSE (+2)",4,2,0,3,3,"Q61545"
"EZRI_MOUSE","Ezr","Ezrin OS=Mus musculus OX=10090 GN=Ezr PE=1 SV=3","EZRI_MOUSE",18,17,14,17,17,"P26040"
"F10A1_MOUSE","St13","Hsc70-interacting protein OS=Mus musculus OX=10090 GN=St13 PE=1 SV=1","F10A1_MOUSE (+1)",3,4,0,4,4,"Q99L47"
"F13A_MOUSE","F13a1","Coagulation factor XIII A chain OS=Mus musculus OX=10090 GN=F13a1 PE=1 SV=3","F13A_MOUSE",8,2,3,5,4,"Q8BH61"
"F6RPJ9_MOUSE","Ide","Insulin-degrading enzyme (Fragment) OS=Mus musculus OX=10090 GN=Ide PE=1 SV=1","F6RPJ9_MOUSE",4,2,0,10,4,"F6RPJ9"
"F6VW30_MOUSE","Ywhaq","14-3-3 protein theta (Fragment) OS=Mus musculus OX=10090 GN=Ywhaq PE=1 SV=1","F6VW30_MOUSE (+3)",11,9,7,9,9,"F6VW30"
"F6YVP7_MOUSE","Gm10260","Predicted gene 10260 OS=Mus musculus OX=10090 GN=Gm10260 PE=3 SV=2","F6YVP7_MOUSE (+1)",5,3,3,6,7,"F6YVP7"
"F8VQJ3_MOUSE","Lamc1","Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=1","F8VQJ3_MOUSE",48,34,38,41,43,"F8VQJ3"
"F8WGI9_MOUSE","Vldlr","Very low-density lipoprotein receptor OS=Mus musculus OX=10090 GN=Vldlr PE=1 SV=1","F8WGI9_MOUSE (+2)",5,4,5,9,5,"F8WGI9"
"F8WH23_MOUSE","Igfbp7","Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=1","F8WH23_MOUSE (+1)",15,15,15,13,16,"F8WH23"
"F8WIV2_MOUSE","Serpinb6a","Serine (or cysteine) peptidase inhibitor, clade B, member 6a OS=Mus musculus OX=10090 GN=Serpinb6a PE=1 SV=1","F8WIV2_MOUSE",17,13,12,18,17,"F8WIV2"
"FA49B_MOUSE","Fam49b","Protein FAM49B OS=Mus musculus OX=10090 GN=Fam49b PE=1 SV=1","FA49B_MOUSE",12,10,9,10,9,"Q921M7"
"FABP4_MOUSE","Fabp4","Fatty acid-binding protein, adipocyte OS=Mus musculus OX=10090 GN=Fabp4 PE=1 SV=3","FABP4_MOUSE",9,8,9,9,9,"P04117"
"FABP5_MOUSE","Fabp5","Fatty acid-binding protein, epidermal OS=Mus musculus OX=10090 GN=Fabp5 PE=1 SV=3","FABP5_MOUSE",9,9,10,8,9,"Q05816"
"FABPH_MOUSE","Fabp3","Fatty acid-binding protein, heart OS=Mus musculus OX=10090 GN=Fabp3 PE=1 SV=5","FABPH_MOUSE",4,5,5,5,5,"P11404"
"FAS_MOUSE","Fasn","Fatty acid synthase OS=Mus musculus OX=10090 GN=Fasn PE=1 SV=2","FAS_MOUSE",12,6,0,8,14,"P19096"
"FBLN1_MOUSE","Fbln1","Fibulin-1 OS=Mus musculus OX=10090 GN=Fbln1 PE=1 SV=2","sp|Q08879|FBLN1_MOUSE",11,3,4,9,10,"Q08879"
"FBLN2_MOUSE","Fbln2","Isoform 2 of Fibulin-2 OS=Mus musculus OX=10090 GN=Fbln2","sp|P37889-2|FBLN2_MOUSE (+1)",14,6,7,23,13,"P37889"
"FBLN7_MOUSE","Fbln7","Fibulin-7 OS=Mus musculus OX=10090 GN=Fbln7 PE=1 SV=1","FBLN7_MOUSE",6,3,0,4,4,"Q501P1"
"FBN1_MOUSE","Fbn1","Fibrillin-1 OS=Mus musculus OX=10090 GN=Fbn1 PE=1 SV=2","FBN1_MOUSE",2,2,0,6,5,"Q61554"
"FERM2_MOUSE","Fermt2","Fermitin family homolog 2 OS=Mus musculus OX=10090 GN=Fermt2 PE=1 SV=1","FERM2_MOUSE",8,7,3,11,9,"Q8CIB5"
"FETA_MOUSE","Afp","Alpha-fetoprotein OS=Mus musculus OX=10090 GN=Afp PE=2 SV=1","FETA_MOUSE",35,19,30,34,35,"P02772"
"FETUB_MOUSE","Fetub","Fetuin-B OS=Mus musculus OX=10090 GN=Fetub PE=1 SV=1","FETUB_MOUSE",4,2,0,2,3,"Q9QXC1"
"FHL3_MOUSE","Fhl3","Four and a half LIM domains protein 3 OS=Mus musculus OX=10090 GN=Fhl3 PE=1 SV=2","FHL3_MOUSE",3,0,2,3,3,"Q9R059"
"FIS1_MOUSE","Fis1","Mitochondrial fission 1 protein OS=Mus musculus OX=10090 GN=Fis1 PE=1 SV=1","FIS1_MOUSE (+1)",2,2,0,4,2,"Q9CQ92"
"FKB1A_MOUSE","Fkbp1a","Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus OX=10090 GN=Fkbp1a PE=1 SV=2","FKB1A_MOUSE",6,3,2,5,6,"P26883"
"FKBP2_MOUSE","Fkbp2","Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus OX=10090 GN=Fkbp2 PE=1 SV=1","FKBP2_MOUSE",3,3,4,5,4,"P45878"
"FKBP3_MOUSE","Fkbp3","Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Mus musculus OX=10090 GN=Fkbp3 PE=1 SV=2","FKBP3_MOUSE",7,2,0,5,5,"Q62446"
"FKBP4_MOUSE","Fkbp4","Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Mus musculus OX=10090 GN=Fkbp4 PE=1 SV=5","FKBP4_MOUSE",7,3,3,4,4,"P30416"
"FKBP9_MOUSE","Fkbp9","Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Mus musculus OX=10090 GN=Fkbp9 PE=1 SV=1","FKBP9_MOUSE",3,2,0,3,2,"Q9Z247"
"FLNB_MOUSE","Flnb","Filamin-B OS=Mus musculus OX=10090 GN=Flnb PE=1 SV=3","FLNB_MOUSE",106,86,80,104,98,"Q80X90"
"FLNC_MOUSE","Flnc","Isoform 2 of Filamin-C OS=Mus musculus OX=10090 GN=Flnc","sp|Q8VHX6-2|FLNC_MOUSE (+1)",52,38,33,45,47,"Q8VHX6"
"FPPS_MOUSE","Fdps","Farnesyl pyrophosphate synthase OS=Mus musculus OX=10090 GN=Fdps PE=1 SV=1","FPPS_MOUSE",6,3,3,3,4,"Q920E5"
"FRIH_MOUSE","Fth1","Ferritin heavy chain OS=Mus musculus OX=10090 GN=Fth1 PE=1 SV=2","FRIH_MOUSE",11,7,9,8,10,"P09528"
"FSCN1_MOUSE","Fscn1","Fascin OS=Mus musculus OX=10090 GN=Fscn1 PE=1 SV=4","FSCN1_MOUSE",12,13,11,13,9,"Q61553"
"FSTL1_MOUSE","Fstl1","Follistatin-related protein 1 OS=Mus musculus OX=10090 GN=Fstl1 PE=1 SV=2","FSTL1_MOUSE",11,8,10,15,15,"Q62356"
"FUMH_MOUSE","Fh","Isoform Cytoplasmic of Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh","sp|P97807-2|FUMH_MOUSE (+1)",8,8,5,4,8,"P97807"
"G3UXW9_MOUSE","Gps1","COP9 signalosome complex subunit 1 OS=Mus musculus OX=10090 GN=Gps1 PE=1 SV=1","G3UXW9_MOUSE (+2)",3,2,0,2,2,"G3UXW9"
"G3UXX3_MOUSE","Spr","Sepiapterin reductase OS=Mus musculus OX=10090 GN=Spr PE=1 SV=1","G3UXX3_MOUSE",2,2,0,2,2,"G3UXX3"
"G3UXZ5_MOUSE","Psme1","Proteasome activator complex subunit 1 (Fragment) OS=Mus musculus OX=10090 GN=Psme1 PE=1 SV=1","G3UXZ5_MOUSE (+1)",8,6,6,9,9,"G3UXZ5"
"G3UYV7_MOUSE","Rps28","40S ribosomal protein S28 (Fragment) OS=Mus musculus OX=10090 GN=Rps28 PE=1 SV=1","G3UYV7_MOUSE (+1)",3,3,3,3,3,"G3UYV7"
"G3V018_MOUSE","Syncrip","Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus OX=10090 GN=Syncrip PE=1 SV=1","G3V018_MOUSE (+1)",7,4,2,2,4,"G3V018"
"G3X8T3_MOUSE","Ctsa","Carboxypeptidase OS=Mus musculus OX=10090 GN=Ctsa PE=1 SV=1","G3X8T3_MOUSE (+1)",13,10,9,12,13,"G3X8T3"
"G5E899_MOUSE","Serpine1","Plasminogen activator inhibitor 1 OS=Mus musculus OX=10090 GN=Serpine1 PE=1 SV=1","G5E899_MOUSE",23,23,23,23,23,"G5E899"
"G5E924_MOUSE","Hnrnpl","Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpl PE=1 SV=1","G5E924_MOUSE (+1)",6,3,3,6,5,"G5E924"
"G6PD1_MOUSE","G6pdx","Glucose-6-phosphate 1-dehydrogenase X OS=Mus musculus OX=10090 GN=G6pdx PE=1 SV=3","G6PD1_MOUSE",8,3,4,5,5,"Q00612"
"G6PI_MOUSE","Gpi","Glucose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Gpi PE=1 SV=4","G6PI_MOUSE",23,21,19,17,20,"P06745"
"GALE_MOUSE","Gale","UDP-glucose 4-epimerase OS=Mus musculus OX=10090 GN=Gale PE=1 SV=1","GALE_MOUSE",5,5,0,7,4,"Q8R059"
"GALK1_MOUSE","Galk1","Galactokinase OS=Mus musculus OX=10090 GN=Galk1 PE=1 SV=2","GALK1_MOUSE",3,3,0,3,5,"Q9R0N0"
"GALM_MOUSE","Galm","Aldose 1-epimerase OS=Mus musculus OX=10090 GN=Galm PE=1 SV=1","GALM_MOUSE",2,2,2,0,4,"Q8K157"
"GALNS_MOUSE","Galns","N-acetylgalactosamine-6-sulfatase OS=Mus musculus OX=10090 GN=Galns PE=1 SV=2","GALNS_MOUSE",14,9,6,7,10,"Q571E4"
"GANAB_MOUSE","Ganab","Neutral alpha-glucosidase AB OS=Mus musculus OX=10090 GN=Ganab PE=1 SV=1","sp|Q8BHN3|GANAB_MOUSE",31,27,22,28,29,"Q8BHN3"
"GARS_MOUSE","Gars","Glycine--tRNA ligase OS=Mus musculus OX=10090 GN=Gars PE=1 SV=1","GARS_MOUSE",7,7,4,6,5,"Q9CZD3"
"GATM_MOUSE","Gatm","Glycine amidinotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Gatm PE=1 SV=1","GATM_MOUSE",16,13,14,15,11,"Q9D964"
"GDIA_MOUSE","Gdi1","Rab GDP dissociation inhibitor alpha OS=Mus musculus OX=10090 GN=Gdi1 PE=1 SV=3","GDIA_MOUSE",12,9,8,10,10,"P50396"
"GDIB_MOUSE","Gdi2","Rab GDP dissociation inhibitor beta OS=Mus musculus OX=10090 GN=Gdi2 PE=1 SV=1","sp|Q61598|GDIB_MOUSE",30,28,27,29,30,"Q61598"
"GDIR1_MOUSE","Arhgdia","Rho GDP-dissociation inhibitor 1 OS=Mus musculus OX=10090 GN=Arhgdia PE=1 SV=3","GDIR1_MOUSE",10,9,9,9,9,"Q99PT1"
"GDIR2_MOUSE","Arhgdib","Rho GDP-dissociation inhibitor 2 OS=Mus musculus OX=10090 GN=Arhgdib PE=1 SV=3","GDIR2_MOUSE",6,6,6,8,7,"Q61599"
"GDN_MOUSE","Serpine2","Glia-derived nexin OS=Mus musculus OX=10090 GN=Serpine2 PE=1 SV=2","GDN_MOUSE",16,14,13,16,15,"Q07235"
"GELS_MOUSE","Gsn","Isoform 2 of Gelsolin OS=Mus musculus OX=10090 GN=Gsn","sp|P13020-2|GELS_MOUSE",21,24,23,24,26,"P13020"
"GFPT1_MOUSE","Gfpt1","Isoform 2 of Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Mus musculus OX=10090 GN=Gfpt1","sp|P47856-2|GFPT1_MOUSE (+1)",12,9,0,10,9,"P47856"
"GKN1_MOUSE","Gkn1","Gastrokine-1 OS=Mus musculus OX=10090 GN=Gkn1 PE=2 SV=2","GKN1_MOUSE (+1)",5,4,3,4,6,"Q9CR36"
"GLOD4_MOUSE","Glod4","Glyoxalase domain-containing protein 4 OS=Mus musculus OX=10090 GN=Glod4 PE=1 SV=1","sp|Q9CPV4|GLOD4_MOUSE",6,7,5,6,6,"Q9CPV4"
"GLTP_MOUSE","Gltp","Glycolipid transfer protein OS=Mus musculus OX=10090 GN=Gltp PE=1 SV=3","GLTP_MOUSE",2,2,0,3,3,"Q9JL62"
"GLU2B_MOUSE","Prkcsh","Isoform 2 of Glucosidase 2 subunit beta OS=Mus musculus OX=10090 GN=Prkcsh","sp|O08795-2|GLU2B_MOUSE (+1)",9,9,10,9,10,"O08795"
"GMPPB_MOUSE","Gmppb","Mannose-1-phosphate guanyltransferase beta OS=Mus musculus OX=10090 GN=Gmppb PE=1 SV=1","GMPPB_MOUSE",3,4,0,5,4,"Q8BTZ7"
"GNPI1_MOUSE","Gnpda1","Glucosamine-6-phosphate isomerase 1 OS=Mus musculus OX=10090 GN=Gnpda1 PE=1 SV=3","GNPI1_MOUSE",8,9,9,7,6,"O88958"
"GNS_MOUSE","Gns","N-acetylglucosamine-6-sulfatase OS=Mus musculus OX=10090 GN=Gns PE=1 SV=1","GNS_MOUSE",7,8,6,6,11,"Q8BFR4"
"GPC1_MOUSE","Gpc1","Glypican-1 OS=Mus musculus OX=10090 GN=Gpc1 PE=1 SV=1","GPC1_MOUSE",9,2,3,7,8,"Q9QZF2"
"GPX1_MOUSE","Gpx1","Glutathione peroxidase 1 OS=Mus musculus OX=10090 GN=Gpx1 PE=1 SV=2","GPX1_MOUSE",6,5,3,4,4,"P11352"
"GPX3_MOUSE","Gpx3","Glutathione peroxidase 3 OS=Mus musculus OX=10090 GN=Gpx3 PE=1 SV=2","GPX3_MOUSE",2,3,0,4,4,"P46412"
"GRAC_MOUSE","Gzmc","Granzyme C OS=Mus musculus OX=10090 GN=Gzmc PE=1 SV=1","GRAC_MOUSE",7,5,7,6,7,"P08882"
"GRAF_MOUSE","Gzmf","Granzyme F OS=Mus musculus OX=10090 GN=Gzmf PE=1 SV=1","GRAF_MOUSE",4,2,3,4,5,"P08883"
"GRN_MOUSE","Grn","Granulins OS=Mus musculus OX=10090 GN=Grn PE=1 SV=2","GRN_MOUSE (+1)",9,8,4,11,8,"P28798"
"GRPE1_MOUSE","Grpel1","GrpE protein homolog 1, mitochondrial OS=Mus musculus OX=10090 GN=Grpel1 PE=1 SV=1","GRPE1_MOUSE",3,3,2,3,2,"Q99LP6"
"GSH1_MOUSE","Gclc","Glutamate--cysteine ligase catalytic subunit OS=Mus musculus OX=10090 GN=Gclc PE=1 SV=4","GSH1_MOUSE",5,3,2,3,2,"P97494"
"GSHB_MOUSE","Gss","Glutathione synthetase OS=Mus musculus OX=10090 GN=Gss PE=1 SV=1","GSHB_MOUSE",5,0,3,2,4,"P51855"
"GSHR_MOUSE","Gsr","Isoform Cytoplasmic of Glutathione reductase, mitochondrial OS=Mus musculus OX=10090 GN=Gsr","sp|P47791-2|GSHR_MOUSE (+1)",7,6,6,8,6,"P47791"
"GSTM1_MOUSE","Gstm1","Glutathione S-transferase Mu 1 OS=Mus musculus OX=10090 GN=Gstm1 PE=1 SV=2","GSTM1_MOUSE",9,6,7,7,8,"P10649"
"GSTM2_MOUSE","Gstm2","Glutathione S-transferase Mu 2 OS=Mus musculus OX=10090 GN=Gstm2 PE=1 SV=2","GSTM2_MOUSE",9,7,7,9,9,"P15626"
"GSTO1_MOUSE","Gsto1","Glutathione S-transferase omega-1 OS=Mus musculus OX=10090 GN=Gsto1 PE=1 SV=2","GSTO1_MOUSE",7,4,4,7,7,"O09131"
"GSTP1_MOUSE","Gstp1","Glutathione S-transferase P 1 OS=Mus musculus OX=10090 GN=Gstp1 PE=1 SV=2","GSTP1_MOUSE",7,5,4,5,7,"P19157"
"GUAD_MOUSE","Gda","Guanine deaminase OS=Mus musculus OX=10090 GN=Gda PE=1 SV=1","GUAD_MOUSE",17,18,12,18,17,"Q9R111"
"H10_MOUSE","H1f0","Histone H1.0 OS=Mus musculus OX=10090 GN=H1f0 PE=2 SV=4","H10_MOUSE",3,2,3,3,3,"P10922"
"H12_MOUSE","Hist1h1c","Histone H1.2 OS=Mus musculus OX=10090 GN=Hist1h1c PE=1 SV=2","H12_MOUSE",6,6,5,8,8,"P15864"
"H2AV_MOUSE","H2afv","Histone H2A.V OS=Mus musculus OX=10090 GN=H2afv PE=1 SV=3","H2AV_MOUSE (+1)",2,2,0,2,2,"Q3THW5"
